Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Djibouti,DJI,"Population, total",SP.POP.TOTL,83636,88498,94204,100628,107583,114963,122866,131397,140462,149887,159659,169372,179224,190568,205181,224183,248556,277479,308008,336085,358960,374937,385271,393802,406017,425613,454361,490330,528999,563864,590398,606844,615054,618495,622366,630388,643654,660863,680463,699975,717584,733015,746942,759641,771603,783254,794563,805451,816358,827823,840198,853674,868136,883293,898696,913993,929112,944097,958920,973560,
Dominica,DMA,"Population, total",SP.POP.TOTL,60011,61032,61982,62918,63926,65038,66311,67686,69040,70213,71073,71568,71731,71738,71802,72094,72654,73440,74284,74955,75314,75309,75003,74483,73851,73201,72533,71842,71208,70723,70419,70374,70544,70831,71043,71098,70936,70599,70185,69835,69650,69661,69837,70100,70382,70589,70718,70795,70827,70851,70878,70916,70965,71016,71085,71183,71307,71458,71625,71808,
Denmark,DNK,"Population, total",SP.POP.TOTL,4579603,4611687,4647727,4684483,4722072,4759012,4797381,4835354,4864883,4891860,4928757,4963126,4991596,5021861,5045297,5059862,5072596,5088419,5104248,5116801,5123027,5121572,5117810,5114297,5111619,5113691,5120534,5127024,5129516,5132594,5140939,5154298,5171370,5188628,5206180,5233373,5263074,5284991,5304219,5321799,5339616,5358783,5375931,5390574,5404523,5419432,5437272,5461438,5493621,5523095,5547683,5570572,5591572,5614932,5643475,5683483,5728010,5764980,5793636,5818553,
Dominican Republic,DOM,"Population, total",SP.POP.TOTL,3294224,3406280,3521018,3638109,3757132,3877765,3999796,4123092,4247558,4373124,4499720,4627210,4755459,4884461,5014189,5144637,5275770,5407500,5539590,5671797,5803927,5935909,6067770,6199661,6331764,6464229,6596962,6729933,6863441,6997888,7133494,7270409,7408342,7546463,7683707,7819247,7952763,8084407,8214426,8343283,8471321,8598601,8724975,8850317,8974444,9097257,9218686,9338861,9458075,9576737,9695121,9813210,9930911,10048224,10165178,10281680,10397743,10513131,10627165,10738958,
Algeria,DZA,"Population, total",SP.POP.TOTL,11057863,11336339,11619828,11912803,12221675,12550885,12902627,13275026,13663583,14061722,14464985,14872250,15285990,15709825,16149025,16607707,17085801,17582904,18102266,18647815,19221665,19824301,20452902,21101875,21763575,22431502,23102389,23774284,24443467,25106190,25758869,26400479,27028326,27635515,28213774,28757785,29266405,29742979,30192754,30623406,31042235,31451514,31855109,32264157,32692163,33149724,33641002,34166972,34730608,35333881,35977455,36661444,37383887,38140132,38923687,39728025,40551404,41389198,42228429,43053054,
East Asia & Pacific (excluding high income),EAP,"Population, total",SP.POP.TOTL,894875726,894479483,906413883,929634713,952494250,976360592,1003799559,1030341039,1057848884,1087054624,1117162966,1147907425,1176909471,1204956202,1231481401,1255568333,1277786904,1298403397,1318985506,1339875001,1360437111,1381732286,1405388771,1429179237,1451901708,1475340018,1500310487,1526774406,1553548245,1579666238,1605187670,1629631635,1652528229,1674580231,1696464141,1717901684,1738949813,1759750579,1779788443,1798639541,1816455805,1833423014,1849607538,1865132706,1880248895,1895275474,1909891462,1924018226,1938057249,1952017409,1965954304,1980035609,1994391099,2008921191,2023597462,2038190036,2053103802,2068142784,2081639097,2093675040,
Early-demographic dividend,EAR,"Population, total",SP.POP.TOTL,980003388,1003194951,1027204720,1051972898,1077531290,1103859980,1130947719,1158861182,1187474717,1216839326,1246947677,1277799446,1309397192,1341779531,1374824989,1408534763,1442862531,1477870044,1513819941,1551093134,1589897381,1630293479,1672134900,1715134120,1758863237,1803032636,1847526562,1892336370,1937278906,1982160368,2028993608,2073591150,2117785725,2161761709,2205758888,2249993940,2294576673,2339379438,2384127949,2428606148,2472852818,2516662231,2560101445,2603300732,2646483566,2689792046,2733278833,2776922496,2820636594,2864298836,2907916908,2951429046,2994364055,3037111090,3079708551,3122156905,3164386912,3206361028,3248239444,3290290613,
East Asia & Pacific,EAS,"Population, total",SP.POP.TOTL,1040958103,1044544622,1059018809,1084796352,1110214377,1136691455,1166600015,1195269923,1224531259,1257454897,1290384064,1324084715,1355934900,1386188710,1416257366,1443359147,1467569010,1490449457,1513227369,1536434993,1559194619,1582789699,1608678553,1634539937,1659131214,1684294889,1710989831,1739071545,1767429690,1795159128,1822193192,1848222188,1872480731,1895897521,1919359723,1942431457,1965146504,1987315562,2008705489,2028650274,2047640119,2065912076,2083186112,2099602439,2115458616,2131146832,2146744075,2161785573,2177119142,2192059415,2206884624,2221673110,2236819053,2252046977,2267482299,2282855831,2298486142,2314097713,2328138066,2340628292,
Europe & Central Asia (excluding high income),ECA,"Population, total",SP.POP.TOTL,256240337,260376293,264562390,268766825,272959737,277095496,280497625,283832742,287134674,290423856,293690906,296984134,300287182,303586613,306887383,310138215,313549206,316954397,320328647,323737501,327228908,330769556,334202516,337643745,341334726,345006493,348642871,352277839,355779850,358915230,361175670,363435421,365331302,366703368,367495486,367887319,368313051,368734967,369018877,369023434,369143668,369183312,369278345,369597930,370083723,370632537,371318140,372332605,373751805,375674687,377835769,380165082,382509766,385088778,387660810,390295673,392870484,395289709,397435105.5,399404587,
Europe & Central Asia,ECS,"Population, total",SP.POP.TOTL,666753314,674450648,682397793,690411689,698355562,706070485,712830280,719406036,725725288,731903703,737524802,743140600,749283628,755259467,761029475,766625583,772129299,777422116,782653832,787910896,793299477,798559799,803342709,807903899,812662240,817497819,822470024,827505323,832553366,837438580,841520445,845398091,848877903,851923757,854031998,855490651,856856889,858164737,859297753,860319225,861278548,862347940,863936840,866215690,868808156,871456632,874157201,877300672,880829122,884469375,887926820,890162706,893788642,898060416,902406816,906707416,910904758,914585461,917922618.5,921140092,
Ecuador,ECU,"Population, total",SP.POP.TOTL,4543666,4674172,4809201,4948986,5093854,5243977,5399422,5560012,5725459,5895367,6069376,6247418,6429379,6614843,6803280,6994334,7187787,7383724,7582353,7784072,7989186,8197652,8409397,8624594,8843462,9066109,9292474,9522360,9755579,9991870,10230934,10472475,10716129,10961466,11208001,11455204,11703174,11951452,12198449,12442115,12681123,12914667,13143465,13369678,13596388,13825847,14059384,14296557,14535739,14774424,15011117,15243883,15474102,15707474,15951838,16212020,16491115,16785361,17084357,17373662,
"Egypt, Arab Rep.",EGY,"Population, total",SP.POP.TOTL,26632894,27366237,28112256,28871383,29644875,30433022,31237600,32056510,32881848,33703139,34513850,35311910,36102659,36896554,37708146,38549142,39422730,40329589,41275736,42267435,43309063,44400113,45539296,46728286,47968642,49258732,50602354,51991700,53399246,54788685,56134475,57424549,58666814,59880658,61095804,62334034,63601629,64892270,66200269,67515591,68831561,70152661,71485043,72826097,74172073,75523569,76873663,78232126,79636079,81134798,82761235,84529250,86422240,88404640,90424654,92442547,94447072,96442593,98423595,100388073,
Euro area,EMU,"Population, total",SP.POP.TOTL,265203934,267621101,270110056,272655378,275163387,277650957,279969040,281974883,283866409,285778637,287338845,288923420,290874595,292728234,294399225,295923527,297251524,298441845,299652820,300886490,302184230,303343135,304174240,304787493,305299134,305877727,306640638,307488390,308516473,309837592,311262588,312708137,314162058,315449099,316366779,317181448,318003015,318761762,319433981,320258898,321310791,322547874,324125336,325885964,327682505,329380417,330922789,332645165,334274725,335360890,336151479,335419643,336159194,337302113,338462222,339488380,340481753,341163597,341843156,342597698,
Eritrea,ERI,"Population, total",SP.POP.TOTL,1007590,1033328,1060486,1088854,1118159,1148189,1178875,1210302,1242635,1276123,1310945,1347176,1384797,1423761,1463983,1505439,1547975,1591620,1636769,1683939,1733416,1784561,1836823,1890558,1946305,2003937,2064794,2127422,2185605,2231141,2258653,2266358,2257596,2238626,2218430,2204222,2196464,2195179,2206432,2237405,2292416,2374722,2481058,2600973,2719803,2826659,2918205,2996536,3062779,3119920,3170435,3213972,,,,,,,,,
Spain,ESP,"Population, total",SP.POP.TOTL,30455000,30739250,31023366,31296651,31609195,31954292,32283194,32682947,33113134,33441054,33814531,34224490,34604469,34988947,35373335,35757900,36137812,36511638,36864898,37191330,37491165,37758631,37986012,38171525,38330364,38469512,38584624,38684815,38766939,38827764,38867322,38966376,39157685,39361262,39549108,39724050,39889852,40057389,40223509,40386875,40567864,40850412,41431558,42187645,42921895,43653155,44397319,45226803,45954106,46362946,46576897,46742697,46773055,46620045,46480882,46444832,46484062,46593236,46797754,47076781,
Estonia,EST,"Population, total",SP.POP.TOTL,1211537,1225077,1241623,1258857,1277086,1294566,1308597,1318946,1331214,1345249,1360076,1376955,1392518,1405951,1418169,1429352,1439576,1450211,1460188,1468333,1477219,1487666,1498414,1508745,1518617,1528781,1540190,1552221,1561900,1568131,1569174,1561314,1533091,1494128,1462514,1436634,1415594,1399535,1386156,1390244,1396985,1388115,1379350,1370720,1362550,1354775,1346810,1340680,1337090,1334515,1331475,1327439,1322696,1317997,1314545,1315407,1315790,1317384,1321977,1326590,
Ethiopia,ETH,"Population, total",SP.POP.TOTL,22151278,22671191,23221389,23798430,24397022,25013626,25641044,26280132,26944390,27652709,28415077,29248643,30140804,31036662,31861352,32566854,33128149,33577242,33993301,34487799,35141712,35984528,36995248,38142674,39374348,40652141,41965693,43329231,44757203,46272299,47887865,49609969,51423585,53295566,55180998,57047908,58883530,60697443,62507724,64343013,66224804,68159423,70142091,72170584,74239505,76346311,78489206,80674348,82916235,85233913,87639964,90139927,92726971,95385785,98094253,100835458,103603501,106400024,109224559,112078730,
European Union,EUU,"Population, total",SP.POP.TOTL,356906076,359998418,363200473,366516491,369850244,373032732,376039119,378917977,381605443,384216975,386322908,388391969,390994983,393524737,395949389,398316577,400473489,402425490,404271768,406051885,407875852,409551932,410895587,411974420,412931311,413924483,415076369,416301856,417653043,419073156,420477979,421730525,422963892,424341130,425399124,426203343,426896863,427538058,428109863,428815493,429328624,429895628,430881944,432415939,434040236,435581949,436998049,438468400,439876674,440917800,441532412,440746976,441395932,442469471,443576663,444543759,445487728,446131273,446777673,447512041,
Fragile and conflict affected situations,FCS,"Population, total",SP.POP.TOTL,183963901,188124157,192452467,196946269,201612917,206458650,211494657,216725732,222140108,227723733,233470596,239356566,245398949,251669755,258274043,265272703,272712626,280540792,288608202,296707474,304690404,312524638,320266666,327983507,335776564,343737164,351842158,360107735,368703675,377842210,389642005,400345083,411763761,423631985,435570558,447316926,458764367,470020836,481098947,492424960,504450718,517162716,530422958,544149583,558207668,572498604,587009010,601759996,616786947,632127588,647810261,663884474,680326998,697006260,713739741,730424930,747004599,763578047,780467640,798138587,
Finland,FIN,"Population, total",SP.POP.TOTL,4429634,4461005,4491443,4523309,4548543,4563732,4580869,4605744,4626469,4623785,4606307,4612124,4639657,4666081,4690574,4711440,4725664,4738902,4752528,4764690,4779535,4799964,4826933,4855787,4881803,4902206,4918154,4932123,4946481,4964371,4986431,5013740,5041992,5066447,5088333,5107790,5124573,5139835,5153498,5165474,5176209,5188008,5200598,5213014,5228172,5246096,5266268,5288720,5313399,5338871,5363352,5388272,5413971,5438972,5461512,5479531,5495303,5508214,5515525,5520314,
Fiji,FJI,"Population, total",SP.POP.TOTL,393481,407249,421665,436293,450542,463968,476404,487981,498940,509704,520562,531635,542844,554138,565415,576626,587557,598296,609383,621585,635307,651021,668280,685497,700483,711775,718639,721783,722930,724594,728573,735401,744469,754963,765609,775425,784386,792736,800157,806303,811006,813925,815257,816076,817860,821604,827870,836190,845361,853637,859818,863449,865069,865608,866453,868627,872399,877459,883483,889953,
France,FRA,"Population, total",SP.POP.TOTL,46621669,47240543,47904877,48582611,49230595,49818028,50330262,50775794,51175508,51561836,51957738,52371342,52793138,53207734,53592233,53931390,54220022,54467702,54691851,54917118,55161527,55430296,55718933,56023770,56337666,56654696,56976123,57302663,57627105,57940212,58235697,58559311,58851217,59106768,59327192,59541899,59753100,59964851,60186288,60496718,60912500,61357430,61805267,62244886,62704895,63179351,63621381,64016225,64374984,64707040,65027507,65342780,65659809,65998687,66312067,66548272,66724104,66864379,66965912,67059887,
Faroe Islands,FRO,"Population, total",SP.POP.TOTL,34615,35076,35524,35969,36406,36847,37278,37705,38124,38570,39009,39458,39925,40387,40850,41299,41722,42134,42538,42936,43337,43725,44108,44488,44891,45330,45818,46349,46830,47166,47274,47120,46739,46266,45856,45625,45615,45796,46096,46436,46735,46997,47233,47432,47600,47722,47792,47825,47820,47808,47814,47823,47843,47892,47960,48051,48173,48331,48497,48678,
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,44514,45932,47367,48855,50468,52227,54192,56307,58388,60145,61417,62082,62279,62270,62455,63128,64361,66082,68194,70517,72930,75423,78012,80629,83195,85640,87905,89979,91985,94057,96301,98770,101389,103915,106030,107529,108321,108480,108208,107781,107402,107173,107030,106901,106625,106129,105371,104444,103543,102975,102911,103450,104506,105926,107446,108895,110215,111459,112640,113815,
Gabon,GAB,"Population, total",SP.POP.TOTL,500928,505799,511287,517580,524895,533361,543112,554059,565766,577646,589314,600613,611704,622920,634742,647536,661402,676255,692077,708788,726328,744696,763930,784061,805115,827108,850048,873867,898469,923711,949488,975783,1002579,1029778,1057255,1084946,1112955,1141338,1170061,1199052,1228360,1258003,1288315,1319953,1353795,1390549,1430152,1472575,1518540,1568928,1624140,1684635,1749682,1817071,1883800,1947686,2007873,2064823,2119275,2172579,
United Kingdom,GBR,"Population, total",SP.POP.TOTL,52400000,52800000,53250000,53650000,54000000,54348050,54648500,54943600,55211700,55441750,55663250,55896223,56086065,56194527,56229974,56225800,56211968,56193492,56196504,56246951,56314216,56333829,56313641,56332848,56422072,56550268,56681396,56802050,56928327,57076711,57247586,57424897,57580402,57718614,57865745,58019030,58166950,58316954,58487141,58682466,58892514,59119673,59370479,59647577,59987905,60401206,60846820,61322463,61806995,62276270,62766365,63258810,63700215,64128273,64602298,65116219,65611593,66058859,66460344,66834405,
Georgia,GEO,"Population, total",SP.POP.TOTL,3645600,3703600,3760300,3816100,3870300,3921600,3966700,4005800,4042300,4080300,4119900,4163000,4205300,4242500,4279500,4311200,4342400,4372100,4397700,4430200,4467700,4504500,4542800,4582900,4622200,4662900,4704500,4743500,4790700,4803300,4802000,4835900,4873500,4911100,4836076,4657722,4491699,4349913,4243607,4157192,4077131,4014373,3978515,3951736,3927340,3902469,3880347,3860158,3848449,3814419,3786695,3756441,3728874,3717668,3719414,3725276,3727505,3728004,3726549,3720382,
Ghana,GHA,"Population, total",SP.POP.TOTL,6635230,6848295,7071971,7300116,7524472,7739473,7941412,8132803,8321770,8520015,8735495,8973244,9229631,9493556,9749104,9985946,10199165,10395452,10590261,10805314,11056116,11348289,11676823,12033575,12405660,12783613,13164837,13552021,13947042,14353410,14773277,15207367,15653336,16106765,16561674,17014057,17462496,17908985,18357156,18812359,19278856,19756928,20246381,20750299,21272323,21814642,22379055,22963946,23563825,24170940,24779619,25387710,25996449,26607642,27224472,27849205,28481946,29121471,29767108,30417856,
Gibraltar,GIB,"Population, total",SP.POP.TOTL,23420,23813,24313,24889,25479,26073,26633,27173,27685,28166,28606,29006,29358,29650,29886,30067,30180,30234,30232,30169,30065,29902,29691,29482,29283,29154,29094,29115,29159,29187,29147,29022,28840,28675,28602,28692,28971,29408,29947,30529,31077,31602,32102,32555,32928,33219,33417,33517,33559,33565,33585,33612,33646,33692,33725,33736,33737,33728,33718,33701,
Guinea,GIN,"Population, total",SP.POP.TOTL,3494162,3552065,3611429,3672556,3735916,3801705,3870203,3941053,4013055,4084600,4154605,4223051,4290534,4357357,4424030,4491248,4559242,4628877,4702376,4782495,4871435,4969592,5077082,5195445,5326362,5470702,5629418,5801326,5982486,6167475,6352283,6534939,6716038,6897166,7081116,7269625,7463782,7662075,7860781,8054743,8240730,8417081,8586074,8753093,8925743,9109581,9307425,9518162,9738792,9964469,10192176,10420471,10652029,10892810,11150977,11432088,11738441,12067539,12414318,12771246,
"Gambia, The",GMB,"Population, total",SP.POP.TOTL,365047,372445,379894,387641,396011,405259,415478,426629,438603,451228,464410,478116,492426,507432,523251,539979,557805,576757,596536,616768,637246,657579,678113,700199,725694,755787,791147,831023,873444,915635,955593,992673,1027475,1060862,1094212,1128575,1164091,1200526,1238125,1277133,1317703,1360074,1404261,1449925,1496527,1543741,1591445,1639848,1689285,1740279,1793196,1848147,1905011,1963711,2024042,2085860,2149139,2213894,2280102,2347706,
Guinea-Bissau,GNB,"Population, total",SP.POP.TOTL,616136,622761,628883,635011,641812,649790,658994,669237,680432,692407,704939,718364,732523,746173,757674,765989,770421,771737,772142,774726,781677,793806,810405,830207,851276,872163,892522,912754,933045,953790,975261,997522,1020350,1043423,1066346,1088854,1110833,1132510,1154371,1177131,1201301,1227106,1254453,1283305,1313492,1344930,1377581,1411543,1446936,1483921,1522599,1562989,1604979,1648257,1692439,1737202,1782437,1828146,1874309,1920922,
Equatorial Guinea,GNQ,"Population, total",SP.POP.TOTL,255333,258791,262219,266000,270618,276300,283506,291790,299413,304000,303982,298846,289501,277646,265771,255800,247962,242156,239678,241980,249929,264374,284630,308206,331552,352118,369023,382981,394961,406620,419188,432853,447266,462637,479098,496768,515853,536460,558492,581770,606181,631666,658384,686664,716949,749535,784496,821687,860840,901599,943639,986853,1031191,1076413,1122276,1168568,1215179,1262001,1308974,1355986,
Greece,GRC,"Population, total",SP.POP.TOTL,8331725,8398050,8448233,8479625,8510429,8550333,8613651,8684088,8740765,8772764,8792806,8831036,8888628,8929086,8962022,9046541,9188150,9308479,9429959,9548258,9642505,9729350,9789513,9846627,9895801,9934300,9967213,10000595,10036983,10089498,10196792,10319927,10399061,10460415,10512922,10562153,10608800,10661259,10720509,10761698,10805808,10862132,10902022,10928070,10955141,10987314,11020362,11048473,11077841,11107017,11121341,11104899,11045011,10965211,10892413,10820883,10775971,10754679,10732882,10716322,
Grenada,GRD,"Population, total",SP.POP.TOTL,89932,91327,92484,93413,94123,94636,94934,95020,94927,94728,94475,94221,93983,93669,93191,92494,91475,90227,89101,88600,89032,90607,93122,96019,98477,99946,100191,99436,98120,96924,96331,96460,97165,98230,99352,100288,101001,101567,102021,102432,102833,103249,103634,104005,104347,104661,104933,105190,105456,105789,106233,106796,107446,108170,108902,109599,110261,110874,111454,112003,
Greenland,GRL,"Population, total",SP.POP.TOTL,32500,33700,35000,36400,37600,39200,40500,41900,43400,44900,46400,47200,48300,49000,49500,49600,49700,49400,49200,49600,50200,51000,51500,52100,52700,53200,53500,54100,54800,55300,55600,55500,55300,55200,55500,55800,55900,56000,56100,56100,56200,56350,56609,56765,56911,56935,56774,56555,56328,56323,56905,56890,56810,56483,56295,56114,56186,56172,56023,56225,
Guatemala,GTM,"Population, total",SP.POP.TOTL,4128880,4251911,4378604,4508444,4640795,4774984,4910790,5047435,5184095,5320100,5455197,5589563,5723759,5858466,5994300,6131151,6269983,6412667,6561919,6720582,6890346,7071186,7262658,7462585,7669863,7884034,8104921,8332446,8566331,8805995,9050115,9296814,9544055,9790619,10037522,10286786,10536942,10788362,11046215,11311078,11589761,11871565,12147518,12415334,12682108,12948292,13213330,13477017,13739299,14000190,14259687,14521515,14781942,15043981,15306316,15567419,15827690,16087418,16346950,16604026,
Guam,GUM,"Population, total",SP.POP.TOTL,66742,68072,69604,71286,73051,74830,76607,78404,80217,82040,83877,85726,87587,89464,91377,93352,95385,97477,99630,101844,104133,106485,108906,111402,113961,116572,119232,121919,124673,127522,130482,133558,136692,139818,142802,145561,148060,150303,152277,153953,155329,156401,157176,157717,158101,158402,158648,158847,159036,159226,159444,159692,159996,160407,161016,161853,162951,164281,165768,167294,
Guyana,GUY,"Population, total",SP.POP.TOTL,571819,589274,606285,622575,637845,651868,664521,675871,686146,695745,704934,713684,721948,729916,737847,745841,754101,762424,770125,776254,780153,781732,781246,778948,775219,770435,764446,757448,750639,745585,743309,744474,748602,754144,758896,761291,760795,757970,753778,749674,746715,745206,744789,745143,745737,746163,746343,746474,746817,747718,749436,752028,755399,759285,763380,767432,771366,775221,779004,782766,
High income,HIC,"Population, total",SP.POP.TOTL,779264541,790787423,800940273,811022746,821010582,830622420,839698997,848251651,855972563,865505599,874094269,883416585,892423643,900522424,909738667,918515869,925967458,933635383,941354717,949389444,957189059,965013677,972400785,979308257,985851908,992434295,999310957,1006177585,1013181810,1020618218,1028439322,1036687790,1042741815,1050717716,1058314875,1067201837,1074336734,1081272108,1088081935,1094816055,1101479766,1108227432,1115120730,1122162870,1129635679,1137301496,1145660099,1154287212,1163465944,1171805563,1179329058,1184722242,1191504221,1198364438,1205404811,1212252370,1219052243,1225031038,1230515710,1235852838,
"Hong Kong SAR, China",HKG,"Population, total",SP.POP.TOTL,3075605,3168100,3305200,3420900,3504600,3597900,3629900,3722800,3802700,3863900,3959000,4045300,4123600,4241600,4377800,4461600,4518000,4583700,4667500,4929700,5063100,5183400,5264500,5345100,5397900,5456200,5524600,5580500,5627600,5686200,5704500,5752000,5800500,5901000,6035400,6156100,6435500,6489300,6543700,6606500,6665000,6714300,6744100,6730800,6783500,6813200,6857100,6916300,6957800,6972800,7024200,7071600,7150100,7178900,7229500,7291300,7336600,7391700,7451000,7507400,
Honduras,HND,"Population, total",SP.POP.TOTL,2038632,2096409,2155647,2216704,2280048,2346015,2414803,2486415,2560727,2637513,2716654,2798123,2882113,2968989,3059239,3153253,3251145,3352825,3458095,3566654,3678279,3792919,3910640,4031325,4154860,4281161,4410269,4542214,4677024,4814702,4955303,5098591,5244678,5394412,5548960,5709014,5874809,6045699,6220406,6397151,6574509,6751912,6929265,7106319,7282953,7458985,7634298,7808518,7980955,8150775,8317470,8480671,8640691,8798521,8955589,9112916,9270795,9429013,9587522,9746117,
Heavily indebted poor countries (HIPC),HPC,"Population, total",SP.POP.TOTL,161734357,165573152,169567094,173722855,178048171,182548785,187227582,192084649,197119436,202329943,207714294,213272637,219004370,224905331,230970305,237195002,243590895,250160346,256880793,263721622,270668574,277719103,284905162,292290346,299959473,307980296,316358131,325095184,334249178,343887505,354047260,364782185,376055904,387705076,399503946,411298620,423019190,434736174,446608340,458867402,471680794,485112686,499113575,513601239,528444632,543555326,558909236,574560260,590590368,607115564,624219326,641921311,660193774,679012664,698336451,718128416,738387254,759106221,780234406,801708035,
Croatia,HRV,"Population, total",SP.POP.TOTL,4140181,4167292,4196712,4225675,4252876,4280923,4310701,4338683,4365628,4391490,4412252,4431275,4450564,4470161,4490660,4512082,4535934,4559571,4581085,4594778,4599782,4611509,4634234,4658254,4680285,4701417,4721446,4739745,4755207,4767260,4777368,4689022,4575818,4600463,4652024,4620030,4557097,4534920,4532135,4512597,4468302,4299642,4302174,4303399,4304600,4310145,4311159,4310217,4309705,4305181,4295427,4280622,4267558,4255689,4238389,4203604,4174349,4124531,4087843,4067500,
Haiti,HTI,"Population, total",SP.POP.TOTL,3866159,3941944,4019173,4097755,4177637,4258732,4341318,4425303,4509813,4593669,4676230,4757182,4837332,4918625,5003710,5094577,5191632,5294619,5404019,5520187,5643173,5773366,5910227,6051622,6194687,6337273,6478541,6618744,6758223,6897755,7037917,7178607,7319493,7460689,7602320,7744503,7887304,8030726,8174680,8319057,8463806,8608819,8754150,8900104,9047077,9195288,9344785,9495328,9646580,9798046,9949322,10100320,10250930,10400673,10549008,10695542,10839970,10982366,11123176,11263077,
Hungary,HUN,"Population, total",SP.POP.TOTL,9983967,10029321,10061734,10087947,10119835,10147935,10178653,10216604,10255815,10298723,10337910,10367537,10398489,10432055,10478720,10540525,10598677,10648031,10684822,10704152,10711122,10711848,10705535,10689463,10668095,10648713,10630564,10612741,10596487,10481719,10373988,10373400,10369341,10357523,10343355,10328965,10311238,10290486,10266570,10237530,10210971,10187576,10158608,10129552,10107146,10087065,10071370,10055780,10038188,10022650,10000023,9971727,9920362,9893082,9866468,9843028,9814023,9787966,9775564,9769949,
IBRD only,IBD,"Population, total",SP.POP.TOTL,1919643279,1940356987,1974019002,2019553752,2065153365,2111931225,2161881256,2211446041,2262349901,2315407247,2369907006,2425732843,2480635679,2535258856,2589035790,2641036498,2691929444,2741759758,2792102767,2843436738,2895270892,2948643276,3004914799,3061809691,3118212739,3175484795,3234352883,3294789958,3355391526,3414926056,3472779202,3529271854,3583653513,3636903391,3689394008,3740821090,3791695536,3842265430,3892058667,3940459765,3987195305,4032822503,4077663877,4122166250,4166322557,4210325712,4253873147,4296873733,4340024679,4383703298,4427061901,4471055917,4515490894,4560254816,4604833828,4648915921,4692793113,4736170185,4777257265,4816235953,
IDA & IBRD total,IBT,"Population, total",SP.POP.TOTL,2299245350,2329154674,2372380776,2427869474,2483839951,2541414862,2602626838,2663895573,2726850226,2792170817,2859057995,2927364511,2994908170,3062459372,3129647772,3195675199,3261263382,3326428540,3392709082,3460519051,3529315764,3600136829,3674370528,3749764657,3825225741,3902131631,3981206549,4062409115,4144329619,4225751614,4306143227,4385562560,4463427776,4540549134,4617186578,4693043491,4768632542,4844173053,4919045862,4992708134,5065364309,5137401875,5209100116,5280932636,5352930962,5425296741,5497791204,5570347406,5643601079,5717826465,5792408543,5867932121,5943960591,6020877871,6098335490,6176134809,6254597843,6333386949,6410738780,6486934853,
IDA total,IDA,"Population, total",SP.POP.TOTL,379602071,388797687,398361774,408315722,418686586,429483637,440745582,452449532,464500325,476763570,489150989,501631668,514272491,527200516,540611982,554638701,569333938,584668782,600606315,617082313,634044872,651493553,669455729,687954966,707013002,726646836,746853666,767619157,788938093,810825558,833364025,856290706,879774263,903645743,927792570,952222401,976937006,1001907623,1026987195,1052248369,1078169004,1104579372,1131436239,1158766386,1186608405,1214971029,1243918057,1273473673,1303576400,1334123167,1365346642,1396876204,1428469697,1460623055,1493501662,1527218888,1561804730,1597216764,1633481515,1670698900,
IDA blend,IDB,"Population, total",SP.POP.TOTL,120391634,123271006,126289823,129443842,132726683,136134379,139672983,143347882,147154763,151087356,155145812,159323752,163636009,168129796,172867296,177892065,183221936,188841791,194720564,200810529,207074892,213499718,220088459,226841876,233765804,240860702,248127801,255551896,263097485,270718948,278496626,286142505,293874927,301679813,309568081,317616103,325908651,334399200,342980958,351519907,360173360,368820681,377512127,386309896,395320114,404615758,414232526,424192635,434469613,444998521,456049562,467268096,478336539,489626543,501147849,512877243,524790731,536862922,549115214,561572202,
Indonesia,IDN,"Population, total",SP.POP.TOTL,87751068,90098394,92518377,95015297,97596733,100267062,103025426,105865571,108779924,111758563,114793178,117880144,121017314,124199687,127422211,130680727,133966941,137278058,140621730,144009845,147447836,150938232,154468229,158009246,161523347,164982451,168374287,171702763,174975954,178209150,181413402,184591903,187739786,190851175,193917462,196934260,199901228,202826446,205724592,208615169,211513823,214427417,217357793,220309469,223285676,226289470,229318262,232374245,235469762,238620563,241834215,245116206,248452413,251806402,255129004,258383256,261554226,264645886,267663435,270625568,
IDA only,IDX,"Population, total",SP.POP.TOTL,259210437,265526681,272071951,278871880,285959903,293349258,301072599,309101650,317345562,325676214,334005177,342307916,350636482,359070720,367744686,376746636,386112002,395826991,405885751,416271784,426969980,437993835,449367270,461113090,473247198,485786134,498725865,512067261,525840608,540106610,554867399,570148201,585899336,601965930,618224489,634606298,651028355,667508423,684006237,700728462,717995644,735758691,753924112,772456490,791288291,810355271,829685531,849281038,869106787,889124646,909297080,929608108,950133158,970996512,992353813,1014341645,1037013999,1060353842,1084366301,1109126698,
Isle of Man,IMN,"Population, total",SP.POP.TOTL,48442,48281,48418,48800,49391,50141,51049,52118,53254,54376,55425,56359,57166,57919,58677,59478,60380,61336,62262,63029,63551,63776,63772,63695,63807,64278,65198,66471,67926,69267,70298,70932,71254,71428,71661,72131,72878,73850,74943,76001,76941,77703,78318,78884,79520,80305,81285,82408,83508,84376,84857,84886,84533,83976,83488,83234,83287,83598,84077,84584,
