Binomial,order,family,genus,species,Sample_size.brain,Sample_size.body,Sex,Mean_brain_mass_g,Mean_body_mass_g,BrainReference1,BrainReference2,Brain.resid,T_resid
Diaemus_youngi,Chiroptera,Phyllostomidae,Diaemus,youngi,6,6,,0.971,34.67,Jones&MacLarnon2004,,0.092219448,0.112440798
Artibeus_jamaicensis,Chiroptera,Phyllostomidae,Artibeus,jamaicensis,101,101,,0.98025,39.33,Jones&MacLarnon2004,,0.055259112,0.072187814
Phyllostomus_discolor,Chiroptera,Phyllostomidae,Phyllostomus,discolor,3,3,,1.101333,35.22,Jones&MacLarnon2004,,0.14179219,0.161602606
Artibeus_lituratus,Chiroptera,Phyllostomidae,Artibeus,lituratus,23,23,,1.171,56.73,Jones&MacLarnon2004,,0.013161431,0.020526088
Noctilio_leporinus,Chiroptera,Noctilionidae,Noctilio,leporinus,8,8,,1.184,59.16,Jones&MacLarnon2004,,0.004294576,0.010564168
Cynopterus_horsfieldii,Chiroptera,Pteropodidae,Cynopterus,horsfieldii,15,15,,1.3495,56.88,Jones&MacLarnon2004,,0.073917314,0.081213028
Rousettus_aegyptiacus,Chiroptera,Pteropodidae,Rousettus,aegyptiacus,5,5,,2.26075,129.62,Jones&MacLarnon2004,,0.029710174,0.015501065
Hypsignathus_monstrosus,Chiroptera,Pteropodidae,Hypsignathus,monstrosus,2,2,,3.41475,324.63,Jones&MacLarnon2004,,-0.090223678,-0.128402687
Epomophorus_gambianus,Chiroptera,Pteropodidae,Epomophorus,gambianus,,,,4.3285,309,Jones&MacLarnon2004,,0.028827607,-0.008063071
Pteropus_vampyrus,Chiroptera,Pteropodidae,Pteropus,vampyrus,,,,9.654,1078.07,Jones&MacLarnon2004,,-0.029822625,-0.099338449
Pteropus_melanotus,Chiroptera,Pteropodidae,Pteropus,melanotus,,,,10.6,1261.4,VonBonin1937,,-0.040378924,-0.113995123
Tylonycteris_pachypus,Chiroptera,Vespertilionidae,Tylonycteris,pachypus,,,,0.077,4.6,Jones&MacLarnon2004,,-0.350605998,-0.277649702
Craseonycteris_thonglongyai,Chiroptera,Craseonycteridae,Craseonycteris,thonglongyai,>1,>1,,0.087,2.56,Jones&MacLarnon2004,,-0.106687315,-0.018430007
Glischropus_tylopus,Chiroptera,Vespertilionidae,Glischropus,tylopus,,,,0.099,4.95,Jones&MacLarnon2004,,-0.265347274,-0.194305566
Neoromicia_nanus,Chiroptera,Vespertilionidae,Neoromicia,nanus,,,,0.1,3.9,Jones&MacLarnon2004,,-0.18332631,-0.106059987
Myotis_siligorensis,Chiroptera,Vespertilionidae,Myotis,siligorensis,,,,0.103,3.46,Jones&MacLarnon2004,,-0.131497346,-0.051105596
Pipistrellus_coromandra,Chiroptera,Vespertilionidae,Pipistrellus,coromandra,,,,0.105,4.6,Jones&MacLarnon2004,,-0.215907424,-0.142951128
Rhogeessa_tumida,Chiroptera,Vespertilionidae,Rhogeessa,tumida,,,,0.1055,5.05,Jones&MacLarnon2004,,-0.244244703,-0.173725187
Pipistrellus_papuanus,Chiroptera,Vespertilionidae,Pipistrellus,papuanus,,,,0.11,3.34,Patzke.etal.2015,"Baron, et al 1996",-0.091444555,-0.0990197
Rhogeessa_parvula,Chiroptera,Vespertilionidae,Rhogeessa,parvula,,,,0.111,4.35,Jones&MacLarnon2004,,-0.173572146,-0.09915688
Pipistrellus_tenuis,Chiroptera,Vespertilionidae,Pipistrellus,tenuis,,,,0.113,5.2,Jones&MacLarnon2004,,-0.223952781,-0.154197479
Kerivoula_phalaena,Chiroptera,Vespertilionidae,Kerivoula,phalaena,,,,0.116,3,Jones&MacLarnon2004,,-0.033410021,-0.276334758
Tylonycteris_robustula,Chiroptera,Vespertilionidae,Tylonycteris,robustula,,,,0.116,7.6,Jones&MacLarnon2004,,-0.336182059,0.050706307
Pipistrellus_javanicus,Chiroptera,Vespertilionidae,Pipistrellus,javanicus,,,,0.119,4.5,Jones&MacLarnon2004,,-0.154390708,-0.080860569
Vespadelus_pumilus,Chiroptera,Vespertilionidae,Vespadelus,pumilus,,,,0.122,5.45,Jones&MacLarnon2004,,-0.205966404,-0.137437089
Myotis_muricola,Chiroptera,Vespertilionidae,Myotis,muricola,,,,0.125,4.95,Jones&MacLarnon2004,,-0.164072455,-0.117067685
Pipistrellus_subflavus,Chiroptera,Vespertilionidae,Pipistrellus,subflavus,,,,0.125,5.3,Jones&MacLarnon2004,,-0.186325663,-0.093030747
Myotis_albescens,Chiroptera,Vespertilionidae,Myotis,albescens,,,,0.126,4,Jones&MacLarnon2004,,-0.091202379,-0.014597072
Furipterus_horrens,Chiroptera,Furipteridae,Furipterus,horrens,,,,0.127,3.43,Jones&MacLarnon2004,,-0.037694339,-0.048672678
Saccopteryx_canescens,Chiroptera,Emballonuridae,Saccopteryx,canescens,,,,0.13,3.4,Jones&MacLarnon2004,,-0.024693279,0.056155195
Myotis_yumanensis,Chiroptera,Vespertilionidae,Myotis,yumanensis,,,,0.13,4.6,Jones&MacLarnon2004,,-0.123153371,-0.050197074
Hypsugo_crassulus,Chiroptera,Vespertilionidae,Hypsugo,crassulus,,,,0.132,6.1,Jones&MacLarnon2004,,-0.20845264,-0.142865082
Myotis_fortidens,Chiroptera,Vespertilionidae,Myotis,fortidens,,,,0.1325,4.35,Jones&MacLarnon2004,,-0.096679246,-0.022263981
Aselliscus_tricuspidatus,Chiroptera,Hipposideridae,Aselliscus,tricuspidatus,>1,>1,,0.134,4.4,Jones&MacLarnon2004,,-0.095512925,-0.021396049
Hypsugo_imbricatus,Chiroptera,Vespertilionidae,Hypsugo,imbricatus,,,,0.137,6.8,Jones&MacLarnon2004,,-0.227690638,-0.164939374
Hypsugo_pulveratus,Chiroptera,Vespertilionidae,Hypsugo,pulveratus,,,,0.143,5.3,Jones&MacLarnon2004,,-0.127899639,-0.146323904
Scotozous_dormeri,Chiroptera,Vespertilionidae,Scotozous,dormeri,,,,0.143,6.8,Jones&MacLarnon2004,,-0.209075168,-0.058641661
Glauconycteris_beatrix,Chiroptera,Vespertilionidae,Glauconycteris,beatrix,,,,0.144,5.5,Jones&MacLarnon2004,,-0.13693841,-0.068647534
Peropteryx_trinitatis,Chiroptera,Emballonuridae,Peropteryx,trinitatis,,,,0.1495,5,Hutcheon.etal.2002,,-0.08961491,-0.018835603
Aselliscus_stoliczkanus,Chiroptera,Hipposideridae,Aselliscus,stoliczkanus,>1,>1,,0.15,4.9,Jones&MacLarnon2004,,-0.08158434,-0.010277566
Hipposideros_halophyllus,Chiroptera,Hipposideridae,Hipposideros,halophyllus,,,,0.152,4,Jones&MacLarnon2004,,-0.009729336,0.066875971
Peropteryx_macrotis,Chiroptera,Emballonuridae,Peropteryx,macrotis,,,,0.1566,5.4,Jones&MacLarnon2004,,-0.094532392,-0.025762443
Eptesicus_pachyotis,Chiroptera,Vespertilionidae,Eptesicus,pachyotis,>1,>1,,0.158,6.6,Jones&MacLarnon2004,,-0.156030296,-0.20550992
Hesperoptenus_blanfordi,Chiroptera,Vespertilionidae,Hesperoptenus,blanfordi,,,,0.158,7.3,Jones&MacLarnon2004,,-0.188864791,-0.127965989
Scotorepens_sanborni,Chiroptera,Vespertilionidae,Scotorepens,sanborni,,,,0.158,9.1,Jones&MacLarnon2004,,-0.260654351,-0.092499608
Saccopteryx_leptura,Chiroptera,Emballonuridae,Saccopteryx,leptura,,,,0.1605,4.9,Jones&MacLarnon2004,,-0.052200562,0.019106212
Myotis_lucifugus,Chiroptera,Vespertilionidae,Myotis,lucifugus,,,,0.16133,8,Jones&MacLarnon2004,,-0.209632364,-0.151124267
Emballonura_monticola,Chiroptera,Emballonuridae,Emballonura,monticola,>1,>1,,0.163,5.4,Jones&MacLarnon2004,,-0.077136545,-0.008366596
Rhinolophus_pusillus,Chiroptera,Rhinolophidae,Rhinolophus,pusillus,,,,0.164,4.7,Jones&MacLarnon2004,,-0.029257959,0.043136837
Pipistrellus_kuhlii,Chiroptera,Vespertilionidae,Pipistrellus,kuhlii,,,,0.166,6.3,Jones&MacLarnon2004,,-0.119426616,-0.054681349
Nyctophilus_geoffroyi,Chiroptera,Vespertilionidae,Nyctophilus,geoffroyi,,,,0.167,7.2,Jones&MacLarnon2004,,-0.160312593,-0.099053664
Miniopterus_australis,Chiroptera,Vespertilionidae,Miniopterus,australis,,,,0.17,7.1,Jones&MacLarnon2004,,-0.14802449,-0.114943011
Lasiurus_borealis,Chiroptera,Vespertilionidae,Lasiurus,borealis,,,,0.17,7.7,Jones&MacLarnon2004,,-0.174449015,-0.086400398
Myotis_montivagus,Chiroptera,Vespertilionidae,Myotis,montivagus,,,,0.17,8.3,Jones&MacLarnon2004,,-0.198889766,-0.141342836
Myotis_riparius,Chiroptera,Vespertilionidae,Myotis,riparius,,,,0.173,7.95,Jones&MacLarnon2004,,-0.177259232,-0.118587444
Emballonura_raffrayana,Chiroptera,Emballonuridae,Emballonura,raffrayana,>1,>1,,0.174,5.9,Jones&MacLarnon2004,,-0.077618856,-0.011160925
Cyttarops_alecto,Chiroptera,Emballonuridae,Cyttarops,alecto,>1,>1,,0.175,5.3,Jones&MacLarnon2004,,-0.040197627,0.02906035
Molossops_temminckii,Chiroptera,Molossidae,Molossops,temminckii,,,,0.181,6.8,Jones&MacLarnon2004,,-0.10673263,-0.043981367
Pipistrellus_ceylonicus,Chiroptera,Vespertilionidae,Pipistrellus,ceylonicus,,,,0.182,10.1,Jones&MacLarnon2004,,-0.233200348,-0.180778043
Barbastella_barbastellus,Chiroptera,Vespertilionidae,Barbastella,barbastellus,>1,>1,,0.184,6,Jones&MacLarnon2004,,-0.05882476,0.007194357
Emballonura_semicaudata,Chiroptera,Emballonuridae,Emballonura,semicaudata,>1,>1,,0.184,7,Jones&MacLarnon2004,,-0.109035314,-0.047040879
Chalinolobus_morio,Chiroptera,Vespertilionidae,Chalinolobus,morio,>1,>1,,0.1845,8.35,Jones&MacLarnon2004,,-0.165298622,-0.107908502
Cynomops_planirostris,Chiroptera,Molossidae,Cynomops,planirostris,>1,>1,,0.185,7.25,Jones&MacLarnon2004,,-0.118111489,-0.057033245
Phoniscus_atrox,Chiroptera,Vespertilionidae,Phoniscus,atrox,,,,0.188,4.2,Jones&MacLarnon2004,,0.066692805,0.142024261
Myotis_hasseltii,Chiroptera,Vespertilionidae,Myotis,hasseltii,,,,0.188,7.5,Jones&MacLarnon2004,,-0.122167912,-0.061974795
Rhinolophus_lepidus,Chiroptera,Rhinolophidae,Rhinolophus,lepidus,,,,0.18833,5.6,Jones&MacLarnon2004,,-0.026250453,0.041569983
Eptesicus_furinalis,Chiroptera,Vespertilionidae,Eptesicus,furinalis,>1,>1,,0.1895,7.6,Jones&MacLarnon2004,,-0.123030834,-0.063183533
Neoromicia_flavescens,Chiroptera,Vespertilionidae,Neoromicia,flavescens,,,,0.19,10.5,Jones&MacLarnon2004,,-0.227169196,-0.17576095
Rhinolophus_cornutus,Chiroptera,Rhinolophidae,Rhinolophus,cornutus,,,,0.194,6.6,Jones&MacLarnon2004,,-0.066885653,-0.003354966
Myotis_horsfieldii,Chiroptera,Vespertilionidae,Myotis,horsfieldii,,,,0.197,6.3,Jones&MacLarnon2004,,-0.045068478,0.019676789
Hipposideros_ater,Chiroptera,Hipposideridae,Hipposideros,ater,,,,0.198,5.83,Jones&MacLarnon2004,,-0.017615285,0.049154262
Eptesicus_brasiliensis,Chiroptera,Vespertilionidae,Eptesicus,brasiliensis,>1,>1,,0.19833,9.03,Jones&MacLarnon2004,,-0.159407771,-0.104061728
Myotis_bocagii,Chiroptera,Vespertilionidae,Myotis,bocagii,1,1,,0.2,7.3,Jones&MacLarnon2004,,-0.086491883,-0.095318187
Myotis_velifer,Chiroptera,Vespertilionidae,Myotis,velifer,,,,0.2,8.9,Jones&MacLarnon2004,,-0.151042836,-0.02559308
Rhinolophus_malayanus,Chiroptera,Rhinolophidae,Rhinolophus,malayanus,,,,0.202,6.4,Jones&MacLarnon2004,,-0.03931295,0.025021147
Kerivoula_pellucida,Chiroptera,Vespertilionidae,Kerivoula,pellucida,,,,0.203,4.1,Jones&MacLarnon2004,,0.107880141,0.183840754
Glauconycteris_poensis,Chiroptera,Vespertilionidae,Glauconycteris,poensis,,,,0.205,8.6,Jones&MacLarnon2004,,-0.129150202,-0.072530307
Rhinolophus_macrotis,Chiroptera,Rhinolophidae,Rhinolophus,macrotis,,,,0.208,6.3,Jones&MacLarnon2004,,-0.021471369,0.043273898
Hipposideros_cervinus,Chiroptera,Hipposideridae,Hipposideros,cervinus,,,,0.214,7.3,Jones&MacLarnon2004,,-0.057108105,0.003790697
Eptesicus_fuscus,Chiroptera,Vespertilionidae,Eptesicus,fuscus,>1,>1,,0.21433,11.23,Jones&MacLarnon2004,,-0.196732877,-0.147079492
Miniopterus_pusillus,Chiroptera,Vespertilionidae,Miniopterus,pusillus,,,,0.216,8.6,Jones&MacLarnon2004,,-0.106450311,-0.049830417
Murina_tubinaris,Chiroptera,Vespertilionidae,Murina,tubinaris,,,,0.217,5.45,Jones&MacLarnon2004,,0.0441335,0.112662814
Cormura_brevirostris,Chiroptera,Emballonuridae,Cormura,brevirostris,>1,>1,,0.219,8.2,Jones&MacLarnon2004,,-0.084946356,-0.027082953
Mormopterus_jugularis,Chiroptera,Molossidae,Mormopterus,jugularis,,,,0.22,11.5,Jones&MacLarnon2004,,-0.193131794,0.02310435
Myotis_annectans,Chiroptera,Vespertilionidae,Myotis,annectans,,,,0.221,9.8,Jones&MacLarnon2004,,-0.139057899,-0.085848335
Thyroptera_tricolor,Chiroptera,Thyropteridae,Thyroptera,tricolor,,,,0.23,4.5,Jones&MacLarnon2004,,0.131790167,0.205320305
Myotis_daubentonii,Chiroptera,Vespertilionidae,Myotis,daubentonii,1,1,,0.23,7.75,Jones&MacLarnon2004,,-0.045278353,0.014058662
Eptesicus_dimissus,Chiroptera,Vespertilionidae,Eptesicus,dimissus,>1,>1,,0.231,15,Jones&MacLarnon2004,,-0.258488355,-0.216392448
Hipposideros_pomona,Chiroptera,Hipposideridae,Hipposideros,pomona,,,,0.233,6.2,Jones&MacLarnon2004,,0.03303291,-0.193365182
Rhinolophus_thomasi,Chiroptera,Rhinolophidae,Rhinolophus,thomasi,,,,0.233,9,Jones&MacLarnon2004,,-0.088356321,0.098195926
Mormopterus_beccarii,Chiroptera,Molossidae,Mormopterus,beccarii,,,,0.233,14.2,Jones&MacLarnon2004,,-0.236892064,-0.032923393
Pteronotus_personatus,Chiroptera,Mormoopidae,Pteronotus,personatus,,,,0.234,7.8,Jones&MacLarnon2004,,-0.039885026,0.019284087
Hipposideros_fulvus,Chiroptera,Hipposideridae,Hipposideros,fulvus,,,,0.236,7,Jones&MacLarnon2004,,-0.000941134,0.061053301
Plecotus_auritus,Chiroptera,Vespertilionidae,Plecotus,auritus,,,,0.238,6.6,Jones&MacLarnon2004,,0.021889574,0.085420262
Nycteris_nana,Chiroptera,Nycteridae,Nycteris,nana,,,,0.239,6.95,Jones&MacLarnon2004,,0.006879712,0.069061307
Myotis_altarium,Chiroptera,Vespertilionidae,Myotis,altarium,,,,0.24,11,Jones&MacLarnon2004,,-0.140864234,-0.090670568
Chalinolobus_gouldii,Chiroptera,Vespertilionidae,Chalinolobus,gouldii,>1,>1,,0.24,11.7,Jones&MacLarnon2004,,-0.160959301,-0.143990764
Asellia_tridens,Chiroptera,Hipposideridae,Asellia,tridens,>1,>1,,0.24,12.8,Jones&MacLarnon2004,,-0.190227651,-0.112376377
Rhinolophus_clivosus,Chiroptera,Rhinolophidae,Rhinolophus,clivosus,,,,0.242,20.1,Jones&MacLarnon2004,,-0.333614445,-0.299159777
Natalus_tumidirostris,Chiroptera,Natalidae,Natalus,tumidirostris,,,,0.245,6.9,Jones&MacLarnon2004,,0.019999702,0.082369809
Rhinonicteris_aurantia,Chiroptera,Hipposideridae,Rhinonicteris,aurantia,,,,0.249,8.65,Jones&MacLarnon2004,,-0.046592975,0.009875564
Nyctophilus_timoriensis,Chiroptera,Vespertilionidae,Nyctophilus,timoriensis,,,,0.254,10.9,Jones&MacLarnon2004,,-0.113267091,-0.062834987
Myotis_adversus,Chiroptera,Vespertilionidae,Myotis,adversus,,,,0.2545,11.25,Jones&MacLarnon2004,,-0.122707634,-0.073100706
Rhinolophus_capensis,Chiroptera,Rhinolophidae,Rhinolophus,capensis,,,,0.256,12.8,Jones&MacLarnon2004,,-0.162198928,-0.115962041
Murina_huttoni,Chiroptera,Vespertilionidae,Murina,huttoni,,,,0.258,8.8,Jones&MacLarnon2004,,-0.036772591,0.019247075
Coleura_afra,Chiroptera,Emballonuridae,Coleura,afra,>1,>1,,0.2585,11.5,Jones&MacLarnon2004,,-0.123093928,-0.074060842
Rhinolophus_coelophyllus,Chiroptera,Rhinolophidae,Rhinolophus,coelophyllus,,,,0.259,7.7,Jones&MacLarnon2004,,0.008401827,0.067907832
Myotis_tricolor,Chiroptera,Vespertilionidae,Myotis,tricolor,,,,0.259,13.6,Jones&MacLarnon2004,,-0.176886015,-0.132231961
Myotis_bechsteinii,Chiroptera,Vespertilionidae,Myotis,bechsteinii,2,2,,0.26,9,Jones&MacLarnon2004,,-0.040738894,0.014694034
Rhinolophus_megaphyllus,Chiroptera,Rhinolophidae,Rhinolophus,megaphyllus,,,,0.2605,9.8,Jones&MacLarnon2004,,-0.067642445,-0.014432881
Hipposideros_ruber,Chiroptera,Hipposideridae,Hipposideros,ruber,,,,0.265,7.3,Jones&MacLarnon2004,,0.035723996,-0.060202722
Murina_cyclotis,Chiroptera,Vespertilionidae,Murina,cyclotis,,,,0.265,7.88,Jones&MacLarnon2004,,0.010821249,0.096622798
Miniopterus_fuscus,Chiroptera,Vespertilionidae,Miniopterus,fuscus,,,,0.265,11.4,Jones&MacLarnon2004,,-0.109463833,0.069723944
Rhinolophus_paradoxolophus,Chiroptera,Rhinolophidae,Rhinolophus,paradoxolophus,,,,0.267,9.3,Jones&MacLarnon2004,,-0.039881409,0.014695418
Hipposideros_ridleyi,Chiroptera,Hipposideridae,Hipposideros,ridleyi,,,,0.269,9.65,Jones&MacLarnon2004,,-0.048673774,0.004938503
Miniopterus_schreibersii,Chiroptera,Vespertilionidae,Miniopterus,schreibersii,6,6,,0.2703,11.78,Jones&MacLarnon2004,,-0.111544089,-0.063139079
Triaenops_persicus,Chiroptera,Hipposideridae,Triaenops,persicus,,,,0.2705,13.7,Jones&MacLarnon2004,,-0.160404775,-0.115941996
Miniopterus_medius,Chiroptera,Vespertilionidae,Miniopterus,medius,,,,0.27122,11.71,Hutcheon.etal.2002,,-0.108127109,-0.059566491
Micronycteris_megalotis,Chiroptera,Phyllostomidae,Micronycteris,megalotis,,,,0.274,6.5,Jones&MacLarnon2004,,0.08803616,0.151965462
Chaerephon_pumilus,Chiroptera,Molossidae,Chaerephon,pumilus,>1,>1,,0.274,12.09,Jones&MacLarnon2004,,-0.114100408,-0.066373585
Rhinopoma_hardwickii,Chiroptera,Rhinopomatidae,Rhinopoma,hardwickii,,,,0.275,12.9,Jones&MacLarnon2004,,-0.133641028,-0.087607323
Rhinolophus_landeri,Chiroptera,Rhinolophidae,Rhinolophus,landeri,,,,0.276,9.65,Jones&MacLarnon2004,,-0.037516972,0.016095305
Rhinolophus_robinsoni,Chiroptera,Rhinolophidae,Rhinolophus,robinsoni,,,,0.2785,8.5,Jones&MacLarnon2004,,0.007730816,0.064656079
Nycteris_thebaica,Chiroptera,Nycteridae,Nycteris,thebaica,,,,0.2785,8.95,Jones&MacLarnon2004,,-0.009072421,0.046505961
Hipposideros_galeritus,Chiroptera,Hipposideridae,Hipposideros,galeritus,,,,0.279,10.4,Jones&MacLarnon2004,,-0.057201595,-0.005543503
Nycteris_hispida,Chiroptera,Nycteridae,Nycteris,hispida,,,,0.284,7.8,Jones&MacLarnon2004,,0.044217456,-0.033203049
Hipposideros_speoris,Chiroptera,Hipposideridae,Hipposideros,speoris,,,,0.284,11.5,Jones&MacLarnon2004,,-0.082236135,0.103386569
Molossus_molossus,Chiroptera,Molossidae,Molossus,molossus,,,,0.28467,13.23,Jones&MacLarnon2004,,-0.126859696,-0.08148549
Rhinolophus_stheno,Chiroptera,Rhinolophidae,Rhinolophus,stheno,,,,0.285,8.5,Jones&MacLarnon2004,,0.017750477,0.07467574
Micronycteris_minuta,Chiroptera,Phyllostomidae,Micronycteris,minuta,,,,0.286,6.9,Jones&MacLarnon2004,,0.087199651,0.149569758
Ametrida_centurio,Chiroptera,Phyllostomidae,Ametrida,centurio,>1,>1,,0.29,10.5,Jones&MacLarnon2004,,-0.043524799,0.007883447
Cynomops_greenhalli,Chiroptera,Molossidae,Cynomops,greenhalli,>1,>1,,0.3,17.5,Jones&MacLarnon2004,,-0.195189635,-0.15711841
Rhinolophus_acuminatus,Chiroptera,Rhinolophidae,Rhinolophus,acuminatus,,,,0.302,12.1,Jones&MacLarnon2004,,-0.072113332,-0.024408096
Micronycteris_schmidtorum,Chiroptera,Phyllostomidae,Micronycteris,schmidtorum,,,,0.308,7.8,Jones&MacLarnon2004,,0.079449833,0.138618946
Rhinolophus_mehelyi,Chiroptera,Rhinolophidae,Rhinolophus,mehelyi,,,,0.31,9.7,Jones&MacLarnon2004,,0.011252308,0.064729657
Kerivoula_papillosa,Chiroptera,Vespertilionidae,Kerivoula,papillosa,,,,0.31,10.1,Jones&MacLarnon2004,,-0.001910042,0.050512263
Myotis_dasycneme,Chiroptera,Vespertilionidae,Myotis,dasycneme,1,1,,0.31,15,Jones&MacLarnon2004,,-0.130738641,-0.088642734
Macrophyllum_macrophyllum,Chiroptera,Phyllostomidae,Macrophyllum,macrophyllum,,,,0.321,8.6,Jones&MacLarnon2004,,0.06560097,0.122220864
Miniopterus_magnater,Chiroptera,Vespertilionidae,Miniopterus,magnater,,,,0.324,15,Jones&MacLarnon2004,,-0.111555325,-0.069459418
Miniopterus_inflatus,Chiroptera,Vespertilionidae,Miniopterus,inflatus,,,,0.3265,15.05,Jones&MacLarnon2004,,-0.10930109,-0.067292068
Rhinolophus_pearsonii,Chiroptera,Rhinolophidae,Rhinolophus,pearsonii,,,,0.332,13.9,Jones&MacLarnon2004,,-0.076154679,-0.032070294
Miniopterus_tristis,Chiroptera,Vespertilionidae,Miniopterus,tristis,,,,0.333,15.6,Jones&MacLarnon2004,,-0.112431224,-0.071359321
Choeroniscus_godmani,Chiroptera,Phyllostomidae,Choeroniscus,godmani,>1,>1,,0.34,6.1,Jones&MacLarnon2004,,0.202452346,0.268039904
Scotophilus_kuhlii,Chiroptera,Vespertilionidae,Scotophilus,kuhlii,,,,0.34233,19.6,Jones&MacLarnon2004,,-0.174779786,-0.139667432
Pteronotus_gymnonotus,Chiroptera,Mormoopidae,Pteronotus,gymnonotus,,,,0.343,13.6,Jones&MacLarnon2004,,-0.054891659,-0.010237605
Lonchophylla_thomasi,Chiroptera,Phyllostomidae,Lonchophylla,thomasi,,,,0.3435,7.2,Jones&MacLarnon2004,,0.152897677,0.214156606
Mesophylla_macconnelli,Chiroptera,Phyllostomidae,Mesophylla,macconnelli,,,,0.3445,7.55,Jones&MacLarnon2004,,0.138699179,0.198718815
Rhinolophus_affinis,Chiroptera,Rhinolophidae,Rhinolophus,affinis,,,,0.3475,13.5,Jones&MacLarnon2004,,-0.046827093,-0.001980354
Rhinolophus_trifoliatus,Chiroptera,Rhinolophidae,Rhinolophus,trifoliatus,,,,0.351,14.8,Jones&MacLarnon2004,,-0.072421021,-0.029974656
Lionycteris_spurrelli,Chiroptera,Phyllostomidae,Lionycteris,spurrelli,,,,0.352,7.55,Jones&MacLarnon2004,,0.148052616,0.208072252
Rhinophylla_pumilio,Chiroptera,Phyllostomidae,Rhinophylla,pumilio,,,,0.356,8.9,Jones&MacLarnon2004,,0.099377166,0.155101815
Chaerephon_jobensis,Chiroptera,Molossidae,Chaerephon,jobensis,>1,>1,,0.36,16.5,Jones&MacLarnon2004,,-0.096842634,-0.057235157
Hipposideros_calcaratus,Chiroptera,Hipposideridae,Hipposideros,calcaratus,,,,0.369,11.35,Jones&MacLarnon2004,,0.035748415,0.08512429
Lonchorhina_aurita,Chiroptera,Phyllostomidae,Lonchorhina,aurita,,,,0.377,18,Jones&MacLarnon2004,,-0.105145466,-0.067809748
Scotomanes_ornatus,Chiroptera,Vespertilionidae,Scotomanes,ornatus,,,,0.384,21.8,Jones&MacLarnon2004,,-0.159544157,-0.127209263
Chaerephon_plicatus,Chiroptera,Molossidae,Chaerephon,plicatus,>1,>1,,0.385,20.5,Jones&MacLarnon2004,,-0.138387493,-0.1044473
Choeroniscus_minor,Chiroptera,Phyllostomidae,Choeroniscus,minor,>1,>1,,0.389,9.6,Jones&MacLarnon2004,,0.113215623,0.021872845
Nycteris_macrotis,Chiroptera,Nycteridae,Nycteris,macrotis,,,,0.389,14.5,Jones&MacLarnon2004,,-0.02110819,0.16696353
Macrotus_californicus,Chiroptera,Phyllostomidae,Macrotus,californicus,,,,0.39,13,Stankowich2016,,0.015575631,-0.192995166
Mops_leucostigma,Chiroptera,Molossidae,Mops,leucostigma,6,6,,0.39,26.79,Patzke.etal.2015/Pantheria,"Baron, et al 1996",-0.219948557,0.061407722
Tadarida_aegyptiaca,Chiroptera,Molossidae,Tadarida,aegyptiaca,,,,0.393,17.7,Jones&MacLarnon2004,,-0.081619786,-0.043845255
Vampyressa_pusilla,Chiroptera,Phyllostomidae,Vampyressa,pusilla,,,,0.394,8.55,Jones&MacLarnon2004,,0.156491429,0.213263561
Rhinopoma_microphyllum,Chiroptera,Rhinopomatidae,Rhinopoma,microphyllum,,,,0.4035,27.1,Jones&MacLarnon2004,,-0.208917092,-0.182264084
Rhinolophus_eloquens,Chiroptera,Rhinolophidae,Rhinolophus,eloquens,,,,0.4045,19.05,Jones&MacLarnon2004,,-0.093035316,-0.057179843
Monophyllus_plethodon,Chiroptera,Phyllostomidae,Monophyllus,plethodon,,,,0.4125,14.9,Jones&MacLarnon2004,,-0.004497619,0.037772929
Hipposideros_larvatus,Chiroptera,Hipposideridae,Hipposideros,larvatus,,,,0.4165,19.85,Jones&MacLarnon2004,,-0.093738108,-0.058956668
Cynomops_abrasus,Chiroptera,Molossidae,Cynomops,abrasus,>1,>1,,0.418,33.3,Jones&MacLarnon2004,,-0.260691174,-0.239417187
Mops_condylurus,Chiroptera,Molossidae,Mops,condylurus,,,,0.42225,26.65,Jones&MacLarnon2004,,-0.183736865,-0.156646676
Anoura_caudifer,Chiroptera,Phyllostomidae,Anoura,caudifer,>1,>1,,0.4225,10.5,Jones&MacLarnon2004,,0.119903917,0.171312163
Lonchophylla_mordax,Chiroptera,Phyllostomidae,Lonchophylla,mordax,,,,0.432,10.7,Jones&MacLarnon2004,,0.123415035,-0.074439117
Mops_niveiventer,Chiroptera,Molossidae,Mops,niveiventer,,,,0.432,21.7,Jones&MacLarnon2004,,-0.106894051,0.174330648
Glossophaga_longirostris,Chiroptera,Phyllostomidae,Glossophaga,longirostris,,,,0.435,11.2,Jones&MacLarnon2004,,0.111544724,0.16126795
Scotophilus_dinganii,Chiroptera,Vespertilionidae,Scotophilus,dinganii,,,,0.4385,24.3,Jones&MacLarnon2004,,-0.137268444,-0.107768083
Rhinolophus_yunanensis,Chiroptera,Rhinolophidae,Rhinolophus,yunanensis,,,,0.439,23.5,Jones&MacLarnon2004,,-0.125869612,-0.095495237
Harpiocephalus_harpia,Chiroptera,Vespertilionidae,Harpiocephalus,harpia,,,,0.442,13.5,Jones&MacLarnon2004,,0.057640368,0.102487107
Artibeus_phaeotis,Chiroptera,Phyllostomidae,Artibeus,phaeotis,>1,>1,,0.448,11.8,Jones&MacLarnon2004,,0.107335337,0.155696057
