county,todays_date,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,hospitalized_covid_patients,all_hospital_beds,icu_covid_confirmed_patients,icu_suspected_covid_patients,icu_available_beds
San Joaquin,2020-06-03,28.0,32.0,60.0,1366.0,10.0,5.0,21.0
Madera,2020-06-03,0.0,0.0,0.0,528.0,1.0,0.0,19.0
Nevada,2020-06-03,0.0,0.0,0.0,131.0,0.0,0.0,6.0
Merced,2020-06-03,3.0,1.0,4.0,242.0,3.0,0.0,2.0
Siskiyou,2020-06-03,0.0,1.0,1.0,65.0,0.0,1.0,6.0
Shasta,2020-06-03,1.0,0.0,1.0,667.0,0.0,0.0,4.0
San Luis Obispo,2020-06-03,2.0,1.0,3.0,466.0,2.0,1.0,21.0
Sonoma,2020-06-03,3.0,76.0,79.0,871.0,2.0,8.0,50.0
San Diego,2020-06-03,295.0,75.0,370.0,6214.0,134.0,24.0,288.0
Plumas,2020-06-03,0.0,0.0,0.0,45.0,0.0,0.0,
Mono,2020-06-03,0.0,0.0,0.0,40.0,0.0,0.0,1.0
Orange,2020-06-03,296.0,80.0,376.0,6993.0,124.0,10.0,387.0
Santa Cruz,2020-06-03,2.0,1.0,3.0,397.0,1.0,0.0,12.0
Humboldt,2020-06-03,1.0,5.0,6.0,352.0,0.0,0.0,7.0
Riverside,2020-06-03,221.0,101.0,322.0,4001.0,71.0,14.0,137.0
Inyo,2020-06-03,0.0,0.0,0.0,42.0,0.0,0.0,4.0
San Francisco,2020-06-03,37.0,34.0,71.0,2647.0,17.0,4.0,80.0
Napa,2020-06-03,0.0,2.0,2.0,387.0,0.0,0.0,5.0
Mariposa,2020-06-03,0.0,0.0,0.0,30.0,0.0,0.0,
San Benito,2020-06-03,0.0,0.0,0.0,25.0,0.0,0.0,2.0
Imperial,2020-06-03,69.0,4.0,73.0,237.0,17.0,0.0,6.0
Santa Barbara,2020-06-03,21.0,4.0,25.0,717.0,9.0,1.0,79.0
Calaveras,2020-06-03,1.0,0.0,1.0,50.0,1.0,0.0,8.0
Placer,2020-06-03,11.0,23.0,34.0,753.0,2.0,2.0,41.0
Del Norte,2020-06-03,0.0,0.0,0.0,51.0,0.0,0.0,0.0
Modoc,2020-06-03,0.0,0.0,0.0,41.0,0.0,0.0,
Tulare,2020-06-03,37.0,2.0,39.0,920.0,8.0,0.0,6.0
Trinity,2020-06-03,0.0,2.0,2.0,54.0,0.0,0.0,
Mendocino,2020-06-03,1.0,0.0,1.0,180.0,1.0,0.0,3.0
Tuolumne,2020-06-03,0.0,0.0,0.0,151.0,0.0,0.0,0.0
Sutter,2020-06-03,0.0,0.0,0.0,14.0,0.0,0.0,
Stanislaus,2020-06-03,27.0,14.0,41.0,1369.0,6.0,2.0,75.0
San Bernardino,2020-06-03,157.0,75.0,232.0,4821.0,67.0,18.0,178.0
Solano,2020-06-03,10.0,13.0,23.0,707.0,4.0,1.0,48.0
Alameda,2020-06-03,89.0,80.0,169.0,2968.0,32.0,6.0,144.0
Ventura,2020-06-03,24.0,19.0,43.0,1337.0,9.0,4.0,34.0
Colusa,2020-06-03,0.0,0.0,0.0,88.0,0.0,0.0,6.0
Kern,2020-06-03,66.0,9.0,75.0,1759.0,35.0,1.0,74.0
Santa Clara,2020-06-03,30.0,27.0,57.0,3318.0,8.0,6.0,184.0
Los Angeles,2020-06-03,1488.0,502.0,1990.0,23607.0,435.0,78.0,1239.0
Glenn,2020-06-03,0.0,0.0,0.0,47.0,0.0,0.0,
Contra Costa,2020-06-03,15.0,52.0,67.0,1628.0,4.0,12.0,101.0
Monterey,2020-06-03,12.0,0.0,12.0,811.0,4.0,0.0,96.0
Marin,2020-06-03,1.0,10.0,11.0,390.0,0.0,3.0,19.0
El Dorado,2020-06-04,1.0,5.0,6.0,199.0,1.0,3.0,7.0
Solano,2020-06-04,10.0,21.0,31.0,707.0,4.0,1.0,48.0
Siskiyou,2020-06-04,0.0,1.0,1.0,65.0,0.0,0.0,5.0
Plumas,2020-06-04,0.0,0.0,0.0,45.0,0.0,0.0,
Imperial,2020-06-04,74.0,3.0,77.0,237.0,18.0,0.0,4.0
Mono,2020-06-04,0.0,0.0,0.0,40.0,0.0,0.0,2.0
Shasta,2020-06-04,2.0,0.0,2.0,667.0,0.0,0.0,5.0
Tuolumne,2020-06-04,1.0,0.0,1.0,151.0,0.0,0.0,0.0
Monterey,2020-06-04,13.0,1.0,14.0,811.0,3.0,0.0,95.0
Amador,2020-06-04,0.0,0.0,0.0,51.0,0.0,0.0,2.0
Inyo,2020-06-04,0.0,0.0,0.0,42.0,0.0,0.0,2.0
Madera,2020-06-04,1.0,1.0,2.0,528.0,1.0,0.0,24.0
Sutter,2020-06-04,0.0,0.0,0.0,14.0,0.0,0.0,
San Benito,2020-06-04,0.0,0.0,0.0,25.0,0.0,0.0,2.0
Kings,2020-06-04,33.0,0.0,33.0,199.0,7.0,0.0,3.0
Tehama,2020-06-04,0.0,0.0,0.0,106.0,0.0,0.0,2.0
Fresno,2020-06-04,66.0,35.0,101.0,2136.0,16.0,3.0,95.0
San Luis Obispo,2020-06-04,2.0,0.0,2.0,464.0,2.0,0.0,23.0
Santa Barbara,2020-06-04,28.0,10.0,38.0,717.0,9.0,2.0,65.0
Riverside,2020-06-04,226.0,91.0,317.0,4025.0,73.0,20.0,122.0
Marin,2020-06-04,2.0,8.0,10.0,390.0,0.0,3.0,13.0
San Francisco,2020-06-04,41.0,21.0,62.0,2647.0,15.0,4.0,87.0
Merced,2020-06-04,3.0,4.0,7.0,242.0,3.0,0.0,4.0
Del Norte,2020-06-04,0.0,0.0,0.0,51.0,0.0,0.0,1.0
Yuba,2020-06-04,3.0,0.0,3.0,445.0,1.0,0.0,14.0
Placer,2020-06-04,11.0,35.0,46.0,753.0,2.0,3.0,47.0
Ventura,2020-06-04,27.0,23.0,50.0,1333.0,7.0,5.0,34.0
Butte,2020-06-04,4.0,0.0,4.0,448.0,0.0,0.0,22.0
Santa Cruz,2020-06-04,2.0,3.0,5.0,397.0,1.0,0.0,16.0
Lassen,2020-06-04,0.0,1.0,1.0,25.0,0.0,0.0,
San Diego,2020-06-04,297.0,82.0,379.0,6218.0,135.0,18.0,292.0
Kern,2020-06-04,62.0,14.0,76.0,1756.0,34.0,1.0,78.0
Yolo,2020-06-04,0.0,0.0,0.0,186.0,0.0,0.0,0.0
Sacramento,2020-06-04,28.0,33.0,61.0,2423.0,14.0,7.0,103.0
Alameda,2020-06-04,82.0,92.0,174.0,2968.0,32.0,9.0,157.0
Los Angeles,2020-06-04,1462.0,586.0,2048.0,23715.0,453.0,99.0,1249.0
Sonoma,2020-06-04,4.0,54.0,58.0,871.0,2.0,7.0,51.0
Humboldt,2020-06-04,0.0,2.0,2.0,352.0,0.0,2.0,2.0
San Bernardino,2020-06-04,168.0,70.0,238.0,4821.0,66.0,15.0,169.0
Lake,2020-06-04,2.0,2.0,4.0,110.0,0.0,1.0,1.0
Mendocino,2020-06-04,1.0,0.0,1.0,180.0,1.0,1.0,2.0
Orange,2020-06-04,300.0,110.0,410.0,6993.0,123.0,18.0,393.0
Contra Costa,2020-06-04,18.0,70.0,88.0,1628.0,7.0,10.0,101.0
Tulare,2020-06-04,39.0,2.0,41.0,920.0,9.0,1.0,3.0
Colusa,2020-06-04,0.0,0.0,0.0,88.0,0.0,0.0,6.0
Napa,2020-06-04,0.0,3.0,3.0,397.0,0.0,1.0,0.0
Calaveras,2020-06-04,0.0,0.0,0.0,50.0,0.0,0.0,10.0
San Mateo,2020-06-04,35.0,18.0,53.0,1101.0,11.0,3.0,48.0
San Joaquin,2020-06-04,28.0,27.0,55.0,1366.0,12.0,3.0,18.0
Modoc,2020-06-04,0.0,0.0,0.0,41.0,0.0,0.0,
Trinity,2020-06-04,0.0,1.0,1.0,54.0,0.0,0.0,
Stanislaus,2020-06-04,29.0,16.0,45.0,1369.0,7.0,3.0,78.0
Glenn,2020-06-04,0.0,0.0,0.0,47.0,0.0,0.0,
Mariposa,2020-06-04,0.0,0.0,0.0,30.0,0.0,0.0,
Santa Clara,2020-06-04,37.0,38.0,75.0,3318.0,14.0,7.0,176.0
Nevada,2020-06-04,0.0,0.0,0.0,125.0,0.0,0.0,5.0
Tulare,2020-06-05,39.0,2.0,41.0,920.0,7.0,0.0,8.0
El Dorado,2020-06-05,2.0,3.0,5.0,199.0,2.0,1.0,8.0
Solano,2020-06-05,13.0,20.0,33.0,707.0,5.0,0.0,45.0
Lassen,2020-06-05,0.0,0.0,0.0,25.0,0.0,0.0,
Amador,2020-06-05,0.0,0.0,0.0,51.0,0.0,0.0,2.0
San Bernardino,2020-06-05,180.0,63.0,243.0,4821.0,61.0,14.0,140.0
Inyo,2020-06-05,0.0,0.0,0.0,42.0,0.0,0.0,3.0
Shasta,2020-06-05,0.0,0.0,0.0,667.0,0.0,0.0,4.0
Humboldt,2020-06-05,0.0,1.0,1.0,352.0,0.0,0.0,1.0
San Mateo,2020-06-05,36.0,18.0,54.0,1101.0,8.0,2.0,47.0
Sonoma,2020-06-05,3.0,69.0,72.0,871.0,2.0,8.0,54.0
Yuba,2020-06-05,3.0,0.0,3.0,445.0,2.0,0.0,13.0
Santa Clara,2020-06-05,43.0,32.0,75.0,3375.0,18.0,6.0,206.0
Stanislaus,2020-06-05,25.0,14.0,39.0,1369.0,8.0,1.0,76.0
Monterey,2020-06-05,14.0,1.0,15.0,811.0,3.0,0.0,92.0
San Francisco,2020-06-05,42.0,22.0,64.0,2658.0,14.0,4.0,98.0
San Luis Obispo,2020-06-05,3.0,3.0,6.0,483.0,2.0,0.0,27.0
Riverside,2020-06-05,228.0,98.0,326.0,4023.0,75.0,24.0,129.0
Napa,2020-06-05,1.0,2.0,3.0,397.0,1.0,0.0,0.0
Santa Cruz,2020-06-05,2.0,3.0,5.0,397.0,1.0,0.0,9.0
Santa Barbara,2020-06-05,29.0,8.0,37.0,717.0,9.0,3.0,82.0
Orange,2020-06-05,315.0,80.0,395.0,6973.0,131.0,11.0,401.0
Modoc,2020-06-05,0.0,0.0,0.0,41.0,0.0,0.0,
Nevada,2020-06-05,0.0,2.0,2.0,130.0,0.0,0.0,4.0
Imperial,2020-06-05,79.0,3.0,82.0,237.0,15.0,0.0,7.0
Sutter,2020-06-05,0.0,0.0,0.0,14.0,0.0,0.0,
Plumas,2020-06-05,0.0,0.0,0.0,45.0,0.0,0.0,
Trinity,2020-06-05,0.0,0.0,0.0,54.0,0.0,0.0,
Sacramento,2020-06-05,35.0,37.0,72.0,2424.0,14.0,7.0,95.0
Mendocino,2020-06-05,1.0,0.0,1.0,180.0,1.0,0.0,2.0
San Benito,2020-06-05,0.0,0.0,0.0,25.0,0.0,0.0,1.0
Kings,2020-06-05,31.0,0.0,31.0,199.0,7.0,0.0,1.0
Glenn,2020-06-05,0.0,0.0,0.0,47.0,0.0,0.0,
Tehama,2020-06-05,0.0,0.0,0.0,106.0,0.0,0.0,4.0
San Joaquin,2020-06-05,26.0,33.0,59.0,1366.0,13.0,4.0,14.0
Siskiyou,2020-06-05,0.0,1.0,1.0,65.0,0.0,0.0,6.0
Los Angeles,2020-06-05,1451.0,547.0,1998.0,23507.0,439.0,109.0,1210.0
Butte,2020-06-05,2.0,0.0,2.0,448.0,1.0,0.0,21.0
Colusa,2020-06-05,0.0,0.0,0.0,88.0,0.0,0.0,6.0
Madera,2020-06-05,3.0,2.0,5.0,528.0,1.0,2.0,19.0
Mono,2020-06-05,0.0,0.0,0.0,40.0,0.0,0.0,2.0
Calaveras,2020-06-05,0.0,0.0,0.0,50.0,0.0,0.0,10.0
Kern,2020-06-05,62.0,16.0,78.0,1756.0,33.0,1.0,80.0
San Diego,2020-06-05,299.0,69.0,368.0,6190.0,137.0,16.0,320.0
Merced,2020-06-05,4.0,1.0,5.0,242.0,2.0,0.0,3.0
Yolo,2020-06-05,0.0,0.0,0.0,186.0,0.0,0.0,3.0
Ventura,2020-06-05,29.0,21.0,50.0,1357.0,9.0,3.0,45.0
Alameda,2020-06-05,82.0,68.0,150.0,2968.0,30.0,10.0,154.0
Contra Costa,2020-06-05,17.0,46.0,63.0,1628.0,6.0,6.0,105.0
Fresno,2020-06-05,67.0,30.0,97.0,2129.0,16.0,3.0,91.0
Mariposa,2020-06-05,0.0,0.0,0.0,30.0,0.0,0.0,
Lake,2020-06-05,1.0,0.0,1.0,110.0,0.0,0.0,2.0
Marin,2020-06-05,2.0,9.0,11.0,390.0,0.0,0.0,16.0
Placer,2020-06-05,11.0,21.0,32.0,753.0,4.0,3.0,49.0
Tuolumne,2020-06-05,1.0,0.0,1.0,151.0,0.0,0.0,2.0
Del Norte,2020-06-05,0.0,0.0,0.0,51.0,0.0,0.0,2.0
Sacramento,2020-06-06,33.0,28.0,61.0,2414.0,15.0,7.0,90.0
San Luis Obispo,2020-06-06,3.0,4.0,7.0,449.0,2.0,1.0,23.0
Santa Clara,2020-06-06,41.0,32.0,73.0,3375.0,16.0,7.0,202.0
Mendocino,2020-06-06,1.0,0.0,1.0,180.0,1.0,0.0,2.0
Yolo,2020-06-06,0.0,0.0,0.0,186.0,0.0,0.0,2.0
Sutter,2020-06-06,0.0,0.0,0.0,14.0,0.0,0.0,
Riverside,2020-06-06,220.0,89.0,309.0,3958.0,72.0,19.0,141.0
Tehama,2020-06-06,0.0,0.0,0.0,106.0,0.0,0.0,2.0
Sonoma,2020-06-06,4.0,71.0,75.0,871.0,3.0,8.0,52.0
San Bernardino,2020-06-06,195.0,59.0,254.0,4821.0,69.0,15.0,147.0
El Dorado,2020-06-06,1.0,4.0,5.0,199.0,1.0,4.0,8.0
San Diego,2020-06-06,285.0,76.0,361.0,6170.0,134.0,12.0,319.0
Imperial,2020-06-06,81.0,2.0,83.0,237.0,19.0,0.0,7.0
Napa,2020-06-06,1.0,3.0,4.0,397.0,1.0,0.0,0.0
Siskiyou,2020-06-06,0.0,1.0,1.0,65.0,0.0,0.0,6.0
Monterey,2020-06-06,13.0,0.0,13.0,811.0,3.0,0.0,91.0
San Francisco,2020-06-06,41.0,24.0,65.0,2658.0,15.0,4.0,98.0
Santa Cruz,2020-06-06,1.0,3.0,4.0,397.0,1.0,0.0,11.0
Yuba,2020-06-06,5.0,0.0,5.0,445.0,2.0,0.0,12.0
Modoc,2020-06-06,0.0,0.0,0.0,41.0,0.0,0.0,
Calaveras,2020-06-06,0.0,0.0,0.0,50.0,0.0,0.0,10.0
Tulare,2020-06-06,34.0,1.0,35.0,920.0,9.0,0.0,17.0
Solano,2020-06-06,12.0,16.0,28.0,707.0,4.0,1.0,47.0
Marin,2020-06-06,3.0,6.0,9.0,390.0,0.0,1.0,18.0
Shasta,2020-06-06,0.0,0.0,0.0,667.0,0.0,0.0,8.0
Trinity,2020-06-06,0.0,0.0,0.0,54.0,0.0,0.0,
Mariposa,2020-06-06,0.0,0.0,0.0,30.0,0.0,0.0,
Madera,2020-06-06,5.0,3.0,8.0,528.0,1.0,0.0,22.0
Colusa,2020-06-06,0.0,0.0,0.0,88.0,0.0,2.0,4.0
Placer,2020-06-06,10.0,24.0,34.0,753.0,4.0,3.0,44.0
Lake,2020-06-06,1.0,1.0,2.0,110.0,0.0,0.0,3.0
Los Angeles,2020-06-06,1399.0,582.0,1981.0,23617.0,418.0,88.0,1233.0
Plumas,2020-06-06,0.0,0.0,0.0,45.0,0.0,0.0,
Lassen,2020-06-06,0.0,0.0,0.0,25.0,0.0,0.0,
Ventura,2020-06-06,33.0,28.0,61.0,1333.0,9.0,8.0,40.0
Kings,2020-06-06,26.0,1.0,27.0,199.0,9.0,1.0,4.0
Inyo,2020-06-06,0.0,0.0,0.0,42.0,0.0,0.0,4.0
Nevada,2020-06-06,0.0,2.0,2.0,130.0,0.0,0.0,4.0
Fresno,2020-06-06,70.0,41.0,111.0,2137.0,15.0,4.0,88.0
Stanislaus,2020-06-06,26.0,9.0,35.0,1369.0,8.0,1.0,69.0
Mono,2020-06-06,0.0,0.0,0.0,40.0,0.0,0.0,2.0
Santa Barbara,2020-06-06,30.0,3.0,33.0,717.0,9.0,1.0,69.0
Amador,2020-06-06,0.0,0.0,0.0,51.0,0.0,0.0,4.0
San Mateo,2020-06-06,37.0,21.0,58.0,1101.0,7.0,0.0,53.0
San Benito,2020-06-06,0.0,0.0,0.0,25.0,0.0,0.0,3.0
Tuolumne,2020-06-06,0.0,0.0,0.0,151.0,0.0,0.0,2.0
Orange,2020-06-06,309.0,67.0,376.0,6973.0,137.0,11.0,396.0
Humboldt,2020-06-06,1.0,5.0,6.0,352.0,0.0,0.0,3.0
Butte,2020-06-06,1.0,0.0,1.0,448.0,1.0,0.0,19.0
Kern,2020-06-06,80.0,32.0,112.0,1756.0,33.0,3.0,89.0
San Joaquin,2020-06-06,30.0,34.0,64.0,1366.0,13.0,3.0,16.0
Merced,2020-06-06,5.0,0.0,5.0,242.0,2.0,0.0,4.0
Contra Costa,2020-06-06,18.0,43.0,61.0,1628.0,5.0,5.0,107.0
Alameda,2020-06-06,83.0,72.0,155.0,2968.0,30.0,11.0,156.0
Del Norte,2020-06-06,0.0,0.0,0.0,51.0,0.0,0.0,1.0
Glenn,2020-06-06,0.0,0.0,0.0,47.0,0.0,0.0,
Orange,2020-06-07,322.0,77.0,399.0,6973.0,148.0,18.0,398.0
San Bernardino,2020-06-07,164.0,57.0,221.0,4821.0,72.0,11.0,158.0
Alameda,2020-06-07,92.0,74.0,166.0,2968.0,29.0,11.0,152.0
Tehama,2020-06-07,0.0,0.0,0.0,106.0,0.0,0.0,1.0
Amador,2020-06-07,0.0,1.0,1.0,51.0,0.0,0.0,0.0
Del Norte,2020-06-07,0.0,1.0,1.0,51.0,0.0,1.0,1.0
Riverside,2020-06-07,217.0,79.0,296.0,3958.0,63.0,19.0,134.0
Imperial,2020-06-07,87.0,1.0,88.0,237.0,18.0,0.0,7.0
Shasta,2020-06-07,0.0,0.0,0.0,667.0,0.0,0.0,12.0
Marin,2020-06-07,1.0,6.0,7.0,390.0,0.0,0.0,16.0
Lake,2020-06-07,0.0,0.0,0.0,110.0,0.0,0.0,4.0
Tuolumne,2020-06-07,0.0,0.0,0.0,151.0,0.0,0.0,3.0
Mariposa,2020-06-07,0.0,0.0,0.0,30.0,0.0,0.0,
Monterey,2020-06-07,12.0,1.0,13.0,811.0,3.0,0.0,91.0
Sacramento,2020-06-07,33.0,26.0,59.0,2399.0,14.0,8.0,90.0
Sonoma,2020-06-07,5.0,66.0,71.0,871.0,3.0,9.0,49.0
Kings,2020-06-07,27.0,1.0,28.0,199.0,9.0,1.0,4.0
Yolo,2020-06-07,0.0,2.0,2.0,186.0,1.0,1.0,2.0
Siskiyou,2020-06-07,0.0,0.0,0.0,65.0,0.0,0.0,5.0
San Joaquin,2020-06-07,39.0,24.0,63.0,1366.0,15.0,1.0,18.0
Mendocino,2020-06-07,1.0,0.0,1.0,180.0,1.0,0.0,2.0
Glenn,2020-06-07,0.0,0.0,0.0,47.0,0.0,0.0,
Santa Clara,2020-06-07,38.0,31.0,69.0,3375.0,15.0,6.0,216.0
Santa Cruz,2020-06-07,1.0,3.0,4.0,397.0,1.0,0.0,11.0
Yuba,2020-06-07,5.0,0.0,5.0,445.0,2.0,0.0,10.0
Trinity,2020-06-07,0.0,0.0,0.0,54.0,0.0,0.0,
El Dorado,2020-06-07,2.0,4.0,6.0,199.0,2.0,1.0,9.0
Calaveras,2020-06-07,0.0,1.0,1.0,50.0,0.0,0.0,12.0
San Luis Obispo,2020-06-07,3.0,2.0,5.0,454.0,2.0,0.0,25.0
Los Angeles,2020-06-07,1453.0,558.0,2011.0,23659.0,428.0,91.0,1247.0
Humboldt,2020-06-07,1.0,4.0,5.0,352.0,0.0,0.0,4.0
Plumas,2020-06-07,0.0,0.0,0.0,45.0,0.0,0.0,
Lassen,2020-06-07,0.0,0.0,0.0,25.0,0.0,0.0,
Tulare,2020-06-07,28.0,0.0,28.0,729.0,8.0,0.0,4.0
Inyo,2020-06-07,0.0,0.0,0.0,42.0,0.0,0.0,4.0
Mono,2020-06-07,0.0,0.0,0.0,40.0,0.0,0.0,2.0
San Francisco,2020-06-07,34.0,14.0,48.0,2337.0,13.0,1.0,88.0
Napa,2020-06-07,1.0,2.0,3.0,397.0,1.0,0.0,2.0
Placer,2020-06-07,10.0,24.0,34.0,753.0,3.0,3.0,46.0
Solano,2020-06-07,13.0,17.0,30.0,707.0,4.0,1.0,46.0
Fresno,2020-06-07,69.0,31.0,100.0,2139.0,16.0,4.0,97.0
Kern,2020-06-07,83.0,24.0,107.0,1756.0,34.0,4.0,82.0
Nevada,2020-06-07,0.0,1.0,1.0,127.0,0.0,0.0,6.0
San Benito,2020-06-07,0.0,0.0,0.0,25.0,0.0,0.0,2.0
Modoc,2020-06-07,0.0,0.0,0.0,41.0,0.0,0.0,
Butte,2020-06-07,1.0,0.0,1.0,448.0,1.0,0.0,21.0
San Diego,2020-06-07,286.0,73.0,359.0,5907.0,131.0,16.0,333.0
Colusa,2020-06-07,0.0,0.0,0.0,88.0,0.0,1.0,5.0
San Mateo,2020-06-07,37.0,20.0,57.0,1101.0,6.0,0.0,55.0
Contra Costa,2020-06-07,23.0,44.0,67.0,1628.0,7.0,5.0,105.0
Santa Barbara,2020-06-07,20.0,3.0,23.0,717.0,6.0,1.0,66.0
Madera,2020-06-07,5.0,6.0,11.0,528.0,1.0,1.0,21.0
Merced,2020-06-07,5.0,2.0,7.0,242.0,2.0,1.0,4.0
Sutter,2020-06-07,0.0,0.0,0.0,14.0,0.0,0.0,
Ventura,2020-06-07,39.0,32.0,71.0,1329.0,11.0,6.0,48.0
Stanislaus,2020-06-07,27.0,10.0,37.0,1369.0,9.0,0.0,73.0
El Dorado,2020-06-08,1.0,5.0,6.0,235.0,1.0,2.0,11.0
Contra Costa,2020-06-08,20.0,35.0,55.0,1628.0,7.0,6.0,116.0
Santa Cruz,2020-06-08,1.0,1.0,2.0,397.0,0.0,0.0,17.0
Shasta,2020-06-08,1.0,0.0,1.0,667.0,0.0,0.0,9.0
Los Angeles,2020-06-08,1458.0,595.0,2053.0,23736.0,426.0,95.0,1301.0
Kings,2020-06-08,24.0,1.0,25.0,199.0,8.0,1.0,2.0
Colusa,2020-06-08,0.0,1.0,1.0,88.0,0.0,1.0,5.0
Nevada,2020-06-08,0.0,2.0,2.0,120.0,0.0,1.0,4.0
Madera,2020-06-08,5.0,4.0,9.0,528.0,1.0,1.0,20.0
Sutter,2020-06-08,0.0,0.0,0.0,14.0,0.0,0.0,
Marin,2020-06-08,2.0,0.0,2.0,390.0,2.0,0.0,16.0
Napa,2020-06-08,1.0,6.0,7.0,397.0,1.0,1.0,3.0
Mendocino,2020-06-08,1.0,0.0,1.0,180.0,1.0,0.0,2.0
Placer,2020-06-08,11.0,11.0,22.0,753.0,3.0,2.0,48.0
San Mateo,2020-06-08,34.0,5.0,39.0,1101.0,5.0,0.0,54.0
Kern,2020-06-08,87.0,26.0,113.0,1756.0,29.0,5.0,81.0
Lake,2020-06-08,0.0,0.0,0.0,110.0,0.0,0.0,4.0
Amador,2020-06-08,0.0,0.0,0.0,51.0,0.0,0.0,3.0
Tehama,2020-06-08,0.0,0.0,0.0,106.0,0.0,0.0,5.0
San Diego,2020-06-08,291.0,80.0,371.0,6122.0,143.0,23.0,332.0
Plumas,2020-06-08,0.0,0.0,0.0,45.0,0.0,0.0,
Modoc,2020-06-08,0.0,0.0,0.0,41.0,0.0,0.0,
Humboldt,2020-06-08,1.0,6.0,7.0,352.0,0.0,0.0,3.0
Riverside,2020-06-08,220.0,108.0,328.0,3987.0,71.0,18.0,128.0
Tulare,2020-06-08,34.0,2.0,36.0,743.0,8.0,0.0,10.0
Lassen,2020-06-08,0.0,0.0,0.0,25.0,0.0,0.0,
Solano,2020-06-08,13.0,15.0,28.0,707.0,3.0,2.0,47.0
Inyo,2020-06-08,1.0,0.0,1.0,42.0,0.0,0.0,4.0
San Bernardino,2020-06-08,197.0,54.0,251.0,4821.0,74.0,12.0,156.0
San Francisco,2020-06-08,32.0,11.0,43.0,2647.0,13.0,2.0,106.0
Alameda,2020-06-08,92.0,60.0,152.0,2968.0,31.0,12.0,144.0
Ventura,2020-06-08,42.0,27.0,69.0,1327.0,12.0,10.0,47.0
Santa Clara,2020-06-08,44.0,17.0,61.0,3375.0,19.0,3.0,229.0
Butte,2020-06-08,4.0,0.0,4.0,448.0,2.0,0.0,19.0
Fresno,2020-06-08,70.0,37.0,107.0,2132.0,15.0,2.0,97.0
Sacramento,2020-06-08,37.0,24.0,61.0,2425.0,13.0,10.0,103.0
Tuolumne,2020-06-08,0.0,0.0,0.0,151.0,0.0,0.0,5.0
Yolo,2020-06-08,0.0,1.0,1.0,186.0,0.0,1.0,8.0
Trinity,2020-06-08,0.0,3.0,3.0,54.0,0.0,0.0,
Calaveras,2020-06-08,0.0,0.0,0.0,50.0,0.0,0.0,10.0
Sonoma,2020-06-08,5.0,74.0,79.0,871.0,3.0,10.0,47.0
Mariposa,2020-06-08,0.0,0.0,0.0,30.0,0.0,0.0,
San Benito,2020-06-08,0.0,0.0,0.0,25.0,0.0,0.0,2.0
Mono,2020-06-08,0.0,0.0,0.0,40.0,0.0,0.0,2.0
Orange,2020-06-08,327.0,64.0,391.0,6976.0,149.0,11.0,410.0
Glenn,2020-06-08,0.0,0.0,0.0,47.0,0.0,0.0,
Santa Barbara,2020-06-08,22.0,6.0,28.0,717.0,8.0,2.0,66.0
San Luis Obispo,2020-06-08,3.0,0.0,3.0,480.0,2.0,0.0,26.0
San Joaquin,2020-06-08,43.0,27.0,70.0,1366.0,18.0,5.0,18.0
Imperial,2020-06-08,85.0,2.0,87.0,237.0,18.0,1.0,6.0
Monterey,2020-06-08,12.0,0.0,12.0,811.0,3.0,0.0,93.0
Yuba,2020-06-08,5.0,0.0,5.0,445.0,2.0,0.0,17.0
Del Norte,2020-06-08,0.0,0.0,0.0,51.0,0.0,0.0,1.0
Merced,2020-06-08,5.0,3.0,8.0,242.0,2.0,1.0,5.0
Siskiyou,2020-06-08,0.0,0.0,0.0,65.0,0.0,0.0,6.0
Stanislaus,2020-06-08,26.0,13.0,39.0,1369.0,10.0,2.0,78.0
Monterey,2020-06-09,13.0,0.0,13.0,811.0,3.0,0.0,92.0
Plumas,2020-06-09,0.0,0.0,0.0,45.0,0.0,0.0,
Contra Costa,2020-06-09,21.0,40.0,61.0,1628.0,10.0,4.0,106.0
Modoc,2020-06-09,0.0,0.0,0.0,41.0,0.0,0.0,
San Joaquin,2020-06-09,45.0,31.0,76.0,1366.0,18.0,7.0,17.0
Stanislaus,2020-06-09,29.0,13.0,42.0,1369.0,13.0,4.0,78.0
Siskiyou,2020-06-09,0.0,1.0,1.0,65.0,0.0,1.0,5.0
Fresno,2020-06-09,68.0,36.0,104.0,2132.0,15.0,1.0,92.0
Calaveras,2020-06-09,0.0,0.0,0.0,50.0,0.0,0.0,9.0
Los Angeles,2020-06-09,1416.0,695.0,2111.0,23627.0,410.0,97.0,1258.0
Merced,2020-06-09,4.0,0.0,4.0,242.0,2.0,0.0,4.0
Marin,2020-06-09,6.0,4.0,10.0,390.0,3.0,1.0,11.0
Imperial,2020-06-09,83.0,2.0,85.0,212.0,18.0,0.0,2.0
Napa,2020-06-09,0.0,6.0,6.0,397.0,0.0,0.0,1.0
Santa Barbara,2020-06-09,25.0,7.0,32.0,717.0,7.0,2.0,64.0
Amador,2020-06-09,0.0,0.0,0.0,51.0,0.0,0.0,0.0
Nevada,2020-06-09,0.0,3.0,3.0,125.0,0.0,2.0,7.0
Kings,2020-06-09,30.0,0.0,30.0,199.0,8.0,0.0,0.0
San Francisco,2020-06-09,37.0,12.0,49.0,2647.0,13.0,0.0,100.0
San Diego,2020-06-09,299.0,74.0,373.0,6182.0,141.0,12.0,330.0
