"Are you self-employed?","How many employees does your company or organization have?","Is your employer primarily a tech company/organization?","Is your primary role within your company related to tech/IT?","Does your employer provide mental health benefits as part of healthcare coverage?","Do you know the options for mental health care available under your employer-provided coverage?","Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?","Does your employer offer resources to learn more about mental health concerns and options for seeking help?","Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?","If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:","Do you think that discussing a mental health disorder with your employer would have negative consequences?","Do you think that discussing a physical health issue with your employer would have negative consequences?","Would you feel comfortable discussing a mental health disorder with your coworkers?","Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?","Do you feel that your employer takes mental health as seriously as physical health?","Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?","Do you have medical coverage (private insurance or state-provided) which includes treatment of  mental health issues?","Do you know local or online resources to seek help for a mental health disorder?","If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to clients or business contacts?","If you have revealed a mental health issue to a client or business contact, do you believe this has impacted you negatively?","If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to coworkers or employees?","If you have revealed a mental health issue to a coworker or employee, do you believe this has impacted you negatively?","Do you believe your productivity is ever affected by a mental health issue?","If yes, what percentage of your work time (time performing primary or secondary job functions) is affected by a mental health issue?","Do you have previous employers?","Have your previous employers provided mental health benefits?","Were you aware of the options for mental health care provided by your previous employers?","Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?","Did your previous employers provide resources to learn more about mental health issues and how to seek help?","Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?","Do you think that discussing a mental health disorder with previous employers would have negative consequences?","Do you think that discussing a physical health issue with previous employers would have negative consequences?","Would you have been willing to discuss a mental health issue with your previous co-workers?","Would you have been willing to discuss a mental health issue with your direct supervisor(s)?","Did you feel that your previous employers took mental health as seriously as physical health?","Did you hear of or observe negative consequences for co-workers with mental health issues in your previous workplaces?","Would you be willing to bring up a physical health issue with a potential employer in an interview?","Why or why not?","Would you bring up a mental health issue with a potential employer in an interview?","Why or why not?","Do you feel that being identified as a person with a mental health issue would hurt your career?","Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?","How willing would you be to share with friends and family that you have a mental illness?","Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?","Have your observations of how another individual who discussed a mental health disorder made you less likely to reveal a mental health issue yourself in your current workplace?","Do you have a family history of mental illness?","Have you had a mental health disorder in the past?","Do you currently have a mental health disorder?","If yes, what condition(s) have you been diagnosed with?","If maybe, what condition(s) do you believe you have?","Have you been diagnosed with a mental health condition by a medical professional?","If so, what condition(s) were you diagnosed with?","Have you ever sought treatment for a mental health issue from a mental health professional?","If you have a mental health issue, do you feel that it interferes with your work when being treated effectively?","If you have a mental health issue, do you feel that it interferes with your work when NOT being treated effectively?","What is your age?","What is your gender?","What country do you live in?","What US state or territory do you live in?","What country do you work in?","What US state or territory do you work in?","Which of the following best describes your work position?","Do you work remotely?"
0,26-100,1,,Yes,"I am not sure","I don't know",Yes,"I don't know","Very easy",No,No,Maybe,Maybe,Yes,No,,,,,,,,,1,"I don't know","N/A (not currently aware)","None did","None did","I don't know","Some of them","None of them","Some of my previous employers","Some of my previous employers","I don't know","None of them",No,"Even though not legal, it could be a factor in hiring. Also, none of their business.",No,"See previous.",Maybe,"No, I don't think they would",Neutral,No,,"I don't know",No,No,,,No,,0,"Not applicable to me","Not applicable to me",36,Male,"United States of America",Michigan,"United States of America",Michigan,"Front-end Developer",Never
1,,,,,,,,,,,,,,,,0,"I know some","No, because it would impact me negatively",N/A,"No, because it would impact me negatively","Not applicable to me",Unsure,,1,"No, none did","N/A (not currently aware)","None did","None did","I don't know","Some of them","Some of them","Some of my previous employers","No, at none of my previous employers","Some did","None of them",Maybe,"depends  if  it  would affect my  work",No,"suspect it would  stop  me  getting  job","Yes, I think it would","Yes, I think they would","Very open","Maybe/Not sure",Yes,Yes,Maybe,Maybe,,"Psychotic Disorder (Schizophrenia, Schizoaffective, etc)|Personality Disorder (Borderline, Antisocial, Paranoid, etc)|Stress Response Syndromes",No,,0,Sometimes,Sometimes,44,male,"United Kingdom",,"United Kingdom",,"Front-end Developer|Back-end Developer|Support",Never
0,500-1000,1,,Yes,Yes,No,No,"I don't know","Very difficult",Maybe,Maybe,Maybe,Maybe,No,No,,,,,,,,,0,,,,,,,,,,,,Yes,"Physical health issues are more socially/culturally acceptable and would not reflect as poorly on the interviewee as a mental health issue.",No,,Maybe,Maybe,"Somewhat open","Maybe/Not sure",N/A,"I don't know",Maybe,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,Sometimes,Often,24,Male,"United States of America",Michigan,"United States of America",Michigan,"Back-end Developer",Never
0,100-500,0,1,"I don't know","I am not sure",No,Yes,"I don't know","Very difficult",Yes,Yes,No,Maybe,No,Yes,,,,,,,,,1,"Yes, they all did","Yes, I was aware of all of them","Yes, they all did","Yes, they all did","Yes, always","I don't know","None of them","No, at none of my previous employers","Yes, at all of my previous employers","None did","None of them",Yes,"Physical issues are relatively well understood by anyone I've ever mentioned them to.",Maybe,"I feel as if there is a stigma against mental health issues in general. I am loathe to even discuss it with my wife.","Yes, I think it would","Yes, I think they would","Not open at all","Maybe/Not sure",Maybe,"I don't know",Maybe,Maybe,,"Anxiety Disorder (Generalized, Social, Phobia, etc)",No,,1,"Not applicable to me",Sometimes,44,Male,"United States of America",Kansas,"United States of America",Kansas,"Supervisor/Team Lead|DevOps/SysAdmin|Support|Back-end Developer|Front-end Developer|Designer",Never
0,"More than 1000",1,,Yes,"I am not sure","I don't know","I don't know","I don't know","Neither easy nor difficult",No,No,Yes,No,"I don't know",No,,,,,,,,,1,"Some did","Yes, I was aware of all of them","Some did","Some did","I don't know","Some of them","None of them","Some of my previous employers","Some of my previous employers","Some did","None of them",Maybe,,Maybe,,"No, I don't think it would","No, I don't think they would","Somewhat open",No,,No,No,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,Never,Sometimes,31,Male,"United States of America",Washington,"United States of America",Washington,"Dev Evangelist/Advocate",Always
1,,,,,,,,,,,,,,,,0,"I know some","Sometimes, if it comes up",Yes,"Sometimes, if it comes up",Yes,Yes,26-50%,1,"No, none did","No, I only became aware later","None did","None did","I don't know","Some of them","None of them","No, at none of my previous employers","Some of my previous employers","Some did","Some of them",Yes,"Depends on whether it would put me in the position of needing to ask for accommodations.",No,"I wouldn't know if I needed accommodations. Also shame. Probably more shame.","Yes, it has","Yes, they do","Very open","Yes, I experienced",Yes,Yes,Yes,Maybe,,"Mood Disorder (Depression, Bipolar Disorder, etc)|Obsessive-Compulsive Disorder",No,,1,Sometimes,Often,49,m,"United States of America",Washington,"United States of America",Washington,"One-person shop|Back-end Developer",Sometimes
0,26-100,1,,Yes,No,Yes,"I don't know",Yes,"Very difficult",Maybe,Maybe,Maybe,No,"I don't know",No,,,,,,,,,1,"I don't know","N/A (not currently aware)","None did","None did","I don't know","I don't know","None of them","Some of my previous employers","Some of my previous employers","I don't know","None of them",Maybe,"I'd only bring it up in an interview if the issue required accommodation.",Maybe,"I'd only bring it up if I felt comfortable & also would need accommodations. But probably a lot less likely to bring it up than a physical health issue.",Maybe,Maybe,"Somewhat open","Maybe/Not sure",No,Yes,No,No,,,No,,0,"Not applicable to me","Not applicable to me",27,female/woman,"United States of America",California,"United States of America",California,"Back-end Developer|Front-end Developer",Sometimes
0,"More than 1000",1,,Yes,"I am not sure","I don't know",Yes,"I don't know","Somewhat easy",No,No,No,Maybe,"I don't know",No,,,,,,,,,1,"Some did","I was aware of some","None did","None did",No,"Some of them","None of them","Some of my previous employers","Some of my previous employers","Some did","None of them",Maybe,,No,"My problem to work with, not theirs","Yes, I think it would",Maybe,"Not open at all","Yes, I observed",N/A,Yes,Maybe,No,,,No,,1,"Not applicable to me",Sometimes,27,"Cis male","United States of America",Florida,"United States of America",Florida,"Supervisor/Team Lead|Back-end Developer|DevOps/SysAdmin",Always
0,100-500,1,,Yes,Yes,No,No,"I don't know","I don't know",No,No,Maybe,Maybe,"I don't know",No,,,,,,,,,1,"No, none did","N/A (not currently aware)","None did","None did","I don't know","I don't know","Some of them","Some of my previous employers","No, at none of my previous employers","I don't know","None of them",No,"Personal health issues don't belong in the interview process, as it inherently makes the interview particularly hostile to the interviewee and their organization (because HR law, especially as relating to anti-discrimination, is a thing).",No,"Personal health issues don't belong in the interview process, as it inherently makes the interview particularly hostile to the interviewee and their organization (because HR law, especially as relating to anti-discrimination, is a thing).","No, I don't think it would","No, I don't think they would","Not applicable to me (I do not have a mental illness)",No,,No,Yes,No,,,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder",1,"Not applicable to me","Not applicable to me",28,Male,"United States of America",California,"United States of America",California,"Supervisor/Team Lead|DevOps/SysAdmin|Back-end Developer",Sometimes
0,6-25,1,,Yes,Yes,No,No,"I don't know","Very difficult",Yes,Maybe,No,No,No,No,,,,,,,,,1,"No, none did","Yes, I was aware of all of them","None did","None did","I don't know","Yes, all of them","None of them","Some of my previous employers","No, at none of my previous employers","Some did","Some of them",No,"I wouldn't want to bring up anything that may trigger unconscious bias and therefore hinder my chances of receiving a job",No,"Mental health issues are still a taboo subject.","Yes, it has","Yes, I think they would","Somewhat open",No,,Yes,Yes,Maybe,,"Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder",Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,Rarely,Sometimes,20,Female,"United States of America",California,"United States of America",California,"Back-end Developer|Front-end Developer",Never
1,,,,,,,,,,,,,,,,1,"No, I don't know any","Not applicable to me",N/A,"Not applicable to me","Not applicable to me",No,,1,"Yes, they all did","N/A (not currently aware)","None did","None did","I don't know","I don't know","None of them","Some of my previous employers","Some of my previous employers","I don't know","None of them",Maybe,,Maybe,,Maybe,Maybe,"Somewhat open",N/A,,Yes,No,No,,,No,,0,"Not applicable to me","Not applicable to me",41,"Male ",Germany,,Germany,,"Back-end Developer|Front-end Developer|One-person shop",Always
0,100-500,0,1,No,N/A,No,Yes,"I don't know","Neither easy nor difficult",Yes,No,Maybe,Maybe,"I don't know",No,,,,,,,,,1,"Some did","I was aware of some","Some did","Some did","I don't know","Some of them","None of them","Some of my previous employers","Some of my previous employers","None did","Some of them",No,"Not relevant",No,"Fear of discrimination ",Maybe,Maybe,"Somewhat not open","Yes, I experienced",N/A,"I don't know",Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",1,Sometimes,"Not applicable to me",38,Male,Australia,,Australia,,"Back-end Developer",Sometimes
0,100-500,1,,"I don't know",No,No,"I don't know","I don't know","Somewhat difficult",Yes,Maybe,No,No,"I don't know",No,,,,,,,,,1,"Some did","I was aware of some","Some did","Some did","I don't know","Some of them","Some of them","No, at none of my previous employers","No, at none of my previous employers","Some did","Some of them",No,"It's my problem, not theirs.",No,"It's my problem, not theirs.",Maybe,"Yes, I think they would","Somewhat not open","Maybe/Not sure",No,Yes,Yes,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)|Post-traumatic Stress Disorder",,No,,0,Sometimes,Sometimes,29,male,"United States of America",California,"United States of America",California,Other,Never
0,100-500,1,,Yes,No,No,No,"I don't know","Very easy",Maybe,No,Maybe,Maybe,No,Yes,,,,,,,,,1,"Yes, they all did","Yes, I was aware of all of them","None did","Some did","Yes, always","Some of them","None of them","Some of my previous employers","Some of my previous employers","Some did","Some of them",Yes,"there's no stigma to saying you have an rsi, a heart condition, etc.",No,"because it gets equated with mental competency and makes you look bad","Yes, it has",Maybe,"Somewhat open","Yes, I experienced",Yes,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Post-traumatic Stress Disorder",,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Post-traumatic Stress Disorder",1,Sometimes,Often,44,f,"United States of America",Oregon,"United States of America",Oregon,"Supervisor/Team Lead",Always
0,500-1000,1,,"I don't know","I am not sure",No,Yes,"I don't know","Neither easy nor difficult",No,No,No,Yes,Yes,No,,,,,,,,,1,"I don't know","N/A (not currently aware)","I don't know","Yes, they all did","I don't know","None of them","None of them","No, at none of my previous employers","Yes, at all of my previous employers","I don't know","None of them",Yes,"If it was something actually relevant to the job I was interviewing for, of course I would bring it up.",Yes,"If I thought that it was relevant to the job I was interviewing for, I would bring it up.",Maybe,Maybe,"Somewhat open",No,,"I don't know",No,No,,,No,,0,"Not applicable to me","Not applicable to me",31,Male.,"United States of America",California,"United States of America",California,"Back-end Developer",Sometimes
0,6-25,1,,No,No,No,No,No,"Somewhat difficult",Yes,Maybe,No,No,No,No,,,,,,,,,1,"No, none did","N/A (not currently aware)","None did","None did",No,"Some of them","Some of them","No, at none of my previous employers","No, at none of my previous employers","None did","Some of them",No,"Fear of discrimination",No,"Fear of discrimination","Yes, I think it would","Yes, I think they would","Somewhat open","Yes, I observed",Yes,Yes,Yes,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder",,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder",1,Rarely,Often,54,m,"United States of America",Idaho,"United States of America",Virginia,"Back-end Developer",Sometimes
0,500-1000,1,,"I don't know",No,No,No,"I don't know","Somewhat easy",No,No,No,Maybe,"I don't know",No,,,,,,,,,1,"I don't know","N/A (not currently aware)","None did","None did","I don't know","None of them","None of them","No, at none of my previous employers","I don't know","I don't know","None of them",Maybe,,Maybe,,Maybe,Maybe,Neutral,No,,Yes,No,No,,,No,,0,"Not applicable to me","Not applicable to me",33,m,Germany,,Germany,,"Back-end Developer",Sometimes
0,6-25,1,,No,No,No,No,No,"I don't know",Maybe,Maybe,No,No,No,Yes,,,,,,,,,1,"I don't know","N/A (not currently aware)","Yes, they all did","None did","I don't know","None of them","None of them","Yes, at all of my previous employers","Yes, at all of my previous employers","Yes, they all did","None of them",Maybe,"depends if I feel comfortable enough",Maybe,"depends if I feel comfortable enough","Yes, I think it would",Maybe,"Not applicable to me (I do not have a mental illness)","Yes, I observed",Yes,No,No,No,,,No,,0,"Not applicable to me","Not applicable to me",29,male,Netherlands,,Netherlands,,"Back-end Developer",Never
0,26-100,1,,"I don't know","I am not sure",No,"I don't know","I don't know","I don't know",No,No,Maybe,Maybe,"I don't know",No,,,,,,,,,1,"No, none did","N/A (not currently aware)","None did","None did","I don't know","Some of them","None of them","No, at none of my previous employers","No, at none of my previous employers","None did","None of them",Yes,"It wouldn't affect day-to-day activities",No,,Maybe,"No, I don't think they would","Not applicable to me (I do not have a mental illness)","Maybe/Not sure",Maybe,"I don't know",Yes,Maybe,,"Mood Disorder (Depression, Bipolar Disorder, etc)|Personality Disorder (Borderline, Antisocial, Paranoid, etc)",Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,Rarely,Sometimes,26,Androgynous,"United Kingdom",,"United Kingdom",,"DevOps/SysAdmin|Back-end Developer",Sometimes
0,26-100,1,,"I don't know",No,Yes,"I don't know","I don't know","Somewhat easy",No,No,Yes,Yes,Yes,No,,,,,,,,,0,,,,,,,,,,,,Maybe,"Only if it would affect performance.",No,,Maybe,Maybe,"Somewhat open",No,,Yes,Maybe,Maybe,,"Addictive Disorder|Substance Use Disorder|Obsessive-Compulsive Disorder|Personality Disorder (Borderline, Antisocial, Paranoid, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",No,,0,Rarely,Sometimes,26,male,"United Kingdom",,"United Kingdom",,"Back-end Developer",Never
1,,,,,,,,,,,,,,,,1,"Yes, I know several","No, because it would impact me negatively",N/A,"No, because it would impact me negatively","Not applicable to me",Yes,51-75%,1,"No, none did","N/A (not currently aware)","None did","None did","I don't know","Yes, all of them","Some of them","No, at none of my previous employers","No, at none of my previous employers","None did","Some of them",No,"Not of their business",No,"It's not of their business","Yes, I think it would","Yes, I think they would","Somewhat not open","Yes, I observed",Maybe,"I don't know",Maybe,Yes,,,No,,1,"Not applicable to me","Not applicable to me",34,Male,"United Kingdom",,"United Kingdom",,"One-person shop",Sometimes
0,100-500,1,,"I don't know",No,No,No,"I don't know","I don't know",Yes,Yes,No,No,"I don't know",No,,,,,,,,,1,"Some did","I was aware of some","Some did","Some did","I don't know","Yes, all of them","Yes, all of them","No, at none of my previous employers","No, at none of my previous employers","I don't know","None of them",No,"That is none of their business and it would affect their decision regardless of policy",No,"It would affect their decision regardless of policy ","Yes, I think it would","Yes, I think they would","Somewhat open",No,,Yes,Yes,Maybe,,"Anxiety Disorder (Generalized, Social, Phobia, etc)",Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)",1,Never,Never,38,Female,"United States of America","New York","United States of America","New Jersey","Back-end Developer",Sometimes
0,100-500,1,,No,No,No,No,"I don't know","Very easy",No,No,Maybe,Maybe,"I don't know",No,,,,,,,,,1,"No, none did","N/A (not currently aware)","None did","None did","I don't know","Some of them","Some of them","Some of my previous employers","Some of my previous employers","None did","None of them",Maybe,,No,,"No, I don't think it would","No, I don't think they would","Somewhat open",No,,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,Sometimes,Often,30,Male,"United Kingdom",,"United Kingdom",,"Back-end Developer",Sometimes
1,,,,,,,,,,,,,,,,1,"No, I don't know any","No, because it would impact me negatively",N/A,"No, because it would impact me negatively","I'm not sure",Yes,26-50%,1,"No, none did","N/A (not currently aware)","None did","None did",No,"Yes, all of them","None of them","Some of my previous employers","No, at none of my previous employers","None did","Some of them",Maybe,"If it does not affect my job then it is not their concern",No,"I believe there would be a conscious/unconscious bias against me.","Yes, I think it would","Yes, I think they would","Not open at all","Yes, I observed",Yes,Yes,Yes,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,Sometimes,Often,34,Male,"United Kingdom",,"United Kingdom",,"Front-end Developer|Back-end Developer|Supervisor/Team Lead",Sometimes
0,"More than 1000",1,,Yes,"I am not sure",No,No,Yes,"Very easy",No,No,Maybe,Maybe,Yes,No,,,,,,,,,1,"Some did","I was aware of some","Some did","Yes, they all did","Yes, always","Some of them","Some of them","Some of my previous employers","Some of my previous employers","Some did","Some of them",Maybe,"Dependent upon impact on work duties.",Maybe,"I often do not disclose.",Maybe,Maybe,"Very open","Yes, I experienced",Yes,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder|Post-traumatic Stress Disorder|Substance Use Disorder",,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder|Post-traumatic Stress Disorder|Substance Use Disorder",1,Rarely,Sometimes,47,F,Australia,,Australia,,Support,Sometimes
0,100-500,0,1,Yes,"I am not sure",Yes,Yes,"I don't know","Very easy",No,No,Yes,Yes,Yes,No,,,,,,,,,1,"No, none did","I was aware of some","None did","None did",No,"Yes, all of them","Yes, all of them","Some of my previous employers","Some of my previous employers","None did","Yes, all of them",Yes,"physical health is not always a reason to not being able to work",Yes,"There is mental health issues in my family",Maybe,"No, I don't think they would","Very open","Yes, I experienced",No,Yes,Maybe,No,,,Yes,,1,"Not applicable to me","Not applicable to me",33,Female,Switzerland,,Switzerland,,"Back-end Developer",Sometimes
0,"More than 1000",0,1,"I don't know",N/A,No,No,"I don't know","Neither easy nor difficult",No,No,Maybe,Maybe,"I don't know",No,,,,,,,,,1,"No, none did","N/A (not currently aware)","None did","None did","I don't know","Some of them","Some of them","Some of my previous employers","Some of my previous employers","I don't know","Some of them",No,"Wouldn't feel comfortable telling them.",No,"Would feel it may have an effect on the chance of employment",Maybe,Maybe,Neutral,"Yes, I observed",N/A,No,No,No,,,No,,0,"Not applicable to me","Not applicable to me",22,Male,"United Kingdom",,"United Kingdom",,"Front-end Developer",Sometimes
0,6-25,1,,"Not eligible for coverage / N/A",N/A,No,No,No,"Somewhat difficult",No,No,No,Yes,"I don't know",No,,,,,,,,,1,"No, none did","N/A (not currently aware)","None did","None did","I don't know","Some of them","Some of them","No, at none of my previous employers","No, at none of my previous employers","None did","None of them",Maybe,"they might think i'd be a high-maintenance or expensive hire",Maybe,"it would depend on the severity of the condition, and to what extent it would affect my capability to work",Maybe,"No, I don't think they would","Not applicable to me (I do not have a mental illness)","Maybe/Not sure",Maybe,"I don't know",Yes,Maybe,,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Addictive Disorder",No,,1,"Not applicable to me","Not applicable to me",28,"male 9:1 female, roughly","United Kingdom",,"United Kingdom",,"Front-end Developer",Never
0,500-1000,1,,Yes,Yes,Yes,Yes,Yes,"Somewhat easy",No,No,Yes,Yes,Yes,No,,,,,,,,,1,"No, none did","N/A (not currently aware)","None did","None did","I don't know","Yes, all of them","Yes, all of them","Some of my previous employers","I don't know","None did","Some of them",Maybe,"It may affect the hiring managers decision if I bring this up. Although, an interview is about ensuring the employer is a good fit for me too. So I would have to consider my options at the time.",Maybe,"It may affect the hiring managers decision if I bring this up. Although, an interview is about ensuring the employer is a good fit for me too. So I would have to consider my options at the time.","Yes, I think it would",Maybe,"Very open","Yes, I experienced",Yes,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",1,Sometimes,Often,31,m,"United Kingdom",,"United Kingdom",,Support,Always
0,"More than 1000",0,1,"Not eligible for coverage / N/A",N/A,No,No,"I don't know","Somewhat easy",Maybe,No,Yes,Yes,No,No,,,,,,,,,1,"No, none did","N/A (not currently aware)","None did","None did","I don't know","Some of them","Some of them","No, at none of my previous employers","No, at none of my previous employers","I don't know","Yes, all of them",Maybe,,Maybe,,"No, I don't think it would","No, they do not","Somewhat open","Yes, I observed",No,Yes,Yes,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)|Post-traumatic Stress Disorder",,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,Sometimes,Sometimes,24,N/A,"United Kingdom",,"United Kingdom",,"Back-end Developer|Front-end Developer",Sometimes
0,1-5,0,1,No,"I am not sure",No,No,"I don't know","Very difficult",Maybe,Maybe,Maybe,Maybe,No,Yes,,,,,,,,,0,,,,,,,,,,,,Yes,"Because I'd die if I had to physically work beyond my capacity.",Maybe,"Mental health is not seen as an issue by most employers.","Yes, I think it would","Yes, I think they would",Neutral,"Yes, I observed",Yes,No,Maybe,No,,,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",0,Sometimes,Sometimes,56,m,Australia,,Australia,,DevOps/SysAdmin,Sometimes
1,,,,,,,,,,,,,,,,1,"I know some","No, because it would impact me negatively",N/A,"No, because it would impact me negatively","Not applicable to me",Yes,51-75%,1,"No, none did","Yes, I was aware of all of them","None did","None did","I don't know","Yes, all of them","None of them","No, at none of my previous employers","No, at none of my previous employers","None did","Some of them",Maybe,"It depends on how permanent the issue is likely to be.",No,"Mental health is either not taken as seriously as physical health or is viewed negatively.","Yes, I think it would","No, I don't think they would","Very open","Yes, I observed",Yes,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Eating Disorder (Anorexia, Bulimia, etc)|Obsessive-Compulsive Disorder",,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Eating Disorder (Anorexia, Bulimia, etc)|Personality Disorder (Borderline, Antisocial, Paranoid, etc)|Obsessive-Compulsive Disorder",1,Often,Often,57,F,Australia,,Australia,,"Back-end Developer",Always
0,100-500,1,,"I don't know","I am not sure",No,"I don't know",Yes,"I don't know",Maybe,No,Maybe,Maybe,"I don't know",No,,,,,,,,,1,"I don't know","N/A (not currently aware)","None did","None did","I don't know","I don't know","None of them","Some of my previous employers","Some of my previous employers","I don't know","None of them",Maybe,"It wouldn't affect my ability to perform the work, so would be unlikely to affect the outcome of an interview",Maybe,"It _may_ affect the outcome of an interview, so I'd be reluctant to bring it up",Maybe,Maybe,"Not applicable to me (I do not have a mental illness)","Maybe/Not sure",N/A,No,No,No,,,No,,0,"Not applicable to me","Not applicable to me",39,M,Spain,,"United States of America","New York","Back-end Developer",Always
0,1-5,1,,No,No,"I don't know",No,"I don't know","Somewhat difficult",Maybe,No,Maybe,Maybe,Yes,No,,,,,,,,,1,"Some did","N/A (not currently aware)","None did","None did","Yes, always","Some of them","None of them","Some of my previous employers","Some of my previous employers","Some did","Some of them",Maybe,"It could affect my application.",Maybe,"I need to know they understand. I don't want to work for someone who doesn't understand.","Yes, I think it would","No, I don't think they would","Somewhat not open",No,,Yes,Yes,No,,,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)",1,Sometimes,Often,21,Male,"United Kingdom",,"United Kingdom",,"DevOps/SysAdmin|Front-end Developer|Back-end Developer|Support",Never
0,500-1000,1,,"I don't know",No,No,"I don't know","I don't know","Very easy",No,No,Maybe,Maybe,Yes,No,,,,,,,,,1,"No, none did","No, I only became aware later","None did","None did","I don't know","Some of them","Some of them","Some of my previous employers","Some of my previous employers","I don't know","None of them",No,"I don't think i need it",No,"I don't think I need it.","Yes, I think it would",Maybe,"Very open","Maybe/Not sure",No,No,No,No,,,No,,0,"Not applicable to me","Not applicable to me",31,female,Russia,,Russia,,"Dev Evangelist/Advocate",Sometimes
1,,,,,,,,,,,,,,,,1,"No, I don't know any","No, because it would impact me negatively","I'm not sure","Sometimes, if it comes up","I'm not sure",Yes,51-75%,1,"Yes, they all did","Yes, I was aware of all of them","None did","None did","Yes, always","Yes, all of them","Some of them","Some of my previous employers","Some of my previous employers","None did","Some of them",Maybe,"Unspoken prejudices",No,"Would be too much of a negative","Yes, I think it would","Yes, I think they would",Neutral,"Yes, I observed",Maybe,No,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder",,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder",1,Often,Often,63,Male,Canada,,"United States of America","New York","DevOps/SysAdmin|Back-end Developer|One-person shop|Front-end Developer",Always
