College Name,State,Public (1)/ Private (2),# appli. rec'd,# appl. accepted,# new stud. enrolled,% new stud. from top 10%,% new stud. from top 25%,# FT undergrad,# PT undergrad,in-state tuition,out-of-state tuition,room,board,add. fees,estim. book costs,estim. personal $,% fac. w/PHD,stud./fac. ratio,Graduation rate
Iowa Wesleyan College,IA,2,443,291,127,11,44,563,427,9850,9850,1900,1500,,500,,45,17.2,
Loras College,IA,2,1641,1283,527,20,39,1663,170,11200,11200,,,,500,1200,61,14.2,70
Luther College,IA,2,1549,1392,587,38,72,2269,85,13240,13240,1850,1710,,600,400,73,13.8,77
Teikyo Marycrest University,IA,2,328,243,93,,,663,340,9980,9980,1500,2140,210,500,2980,44,12.3,69
Morningside College,IA,2,586,533,239,16,36,950,228,10520,10520,1812,1866,181,500,1000,48,13,56
Mount Mercy College,IA,2,368,317,159,20,49,806,542,10500,10500,2115,1440,100,500,2285,44,11.3,64
Mount Saint Clare College,IA,2,325,284,95,16,33,364,88,9900,9900,1660,1990,80,500,1200,32,13.6,21
Northwestern College,IA,2,860,811,366,22,56,1040,52,9900,9900,1750,1325,,300,1800,68,14.9,68
Simpson College,IA,2,1016,872,300,27,57,1116,602,11250,11250,2130,2850,155,550,1400,66,15.8,70
Saint Ambrose University,IA,2,897,718,276,12,48,1345,390,10450,10450,2310,1710,10,500,1500,56,14.1,70
University of Northern Iowa,IA,1,4144,3379,1853,18,52,10135,1448,2291,6197,1318,1612,164,595,2380,78,16.3,77
University of Dubuque,IA,2,576,558,137,11,39,662,131,10430,10430,1845,1775,100,400,1500,85,16.5,45
University of Iowa,IA,1,9224,8025,3262,23,52,15412,2878,2291,8149,,,164,640,2426,,13.1,62
Upper Iowa University,IA,2,663,452,192,10,35,1481,1160,8840,8840,3060,,,500,1000,69,17.4,78
Wartburg College,IA,2,1231,1074,345,34,66,1295,105,11600,11600,1940,1670,120,400,850,66,12.4,67
Teikyo Westmar University,IA,2,451,306,123,10,18,611,146,9980,9980,2010,1630,280,600,2240,46,12,51
William Penn College,IA,2,326,294,140,10,33,630,107,10000,10000,1800,1310,290,495,800,35,13.3,40
Boise State University,ID,1,3619,3080,1888,,,7948,5040,,2093,3370,,938,600,2632,59,17,25
Albertson College,ID,2,587,479,158,38,62,678,41,13500,13500,1025,2210,322,500,675,67,9.4,55
Idaho State University,ID,1,1989,1627,1137,,40,6547,2464,,4500,,,1500,500,1575,67,16.5,33
Lewis-Clark State College,ID,1,1001,551,428,,,1970,1256,1412,5120,,,,908,1721,60,12.1,44
Northwest Nazarene College,ID,2,616,514,385,29,52,1115,60,9840,9840,1680,1140,339,450,822,59,14.8,58
University of Idaho,ID,1,3133,2799,1337,24,49,7242,1431,1548,5962,,,,832,,82,13.5,45
Augustana College,IL,2,1879,1658,497,36,69,1950,38,13353,13353,1622,1622,93,540,821,78,12.7,71
Aurora University,IL,2,532,481,127,,,815,801,10250,10250,,,70,550,,,9.1,56
Barat College,IL,2,261,192,111,15,36,453,266,9690,9690,4300,,140,500,500,57,9.7,71
Blackburn College,IL,2,500,336,156,25,55,421,27,6500,6500,,,,500,1000,76,14.3,51
Bradley University,IL,2,3767,3414,1061,30,58,4531,643,10870,10870,2540,,80,2000,1522,75,14.4,85
College of Saint Francis,IL,2,422,305,160,30,56,781,240,9810,9810,4160,,180,400,,52,17.5,80
Columbia College,IL,2,2419,2160,1117,,,4852,1991,7310,7310,,4350,80,500,1612,18,13.4,41
Concordia University,IL,2,528,403,186,22,56,1168,145,9216,9216,4191,,80,400,1000,56,12.1,75
DePaul University,IL,2,4815,3551,1227,30,58,6069,3719,11214,11214,1479,3453,30,600,,69,16.1,63
Eastern Illinois University,IL,1,5597,4253,1565,12,38,9161,845,1902,5710,,,782,120,1730,62,16.2,76
Eureka College,IL,2,560,454,113,36,56,484,16,10955,10955,1915,1535,150,330,670,62,10.6,53
Greenville College,IL,2,510,387,194,20,46,771,53,10310,10310,,,,400,800,57,14.3,60
Illinois College,IL,2,894,787,262,28,63,909,28,8050,8050,,,,600,1000,75,15.6,52
Illinois Institute of Technology,IL,2,1756,1360,478,42,77,1911,626,14550,14550,,,40,500,700,80,12.3,56
Illinois State University,IL,1,8681,6695,2408,10,35,15701,1823,2600,7799,3403,,815,537,2605,77,21,54
Northeastern Illinois University,IL,1,2086,1507,631,14,27,4056,3433,1902,5706,,,236,552,2178,78,15.1,21
Chicago State University,IL,1,3553,1719,777,12,37,4543,2694,1848,5544,,,350,650,2400,47,15.6,18
Illinois Wesleyan University,IL,2,3050,1342,471,55,86,1818,23,14360,14360,1760,2330,125,400,650,77,12.9,83
Judson College,IL,2,313,228,137,10,30,552,67,9414,9414,,,400,500,1700,34,10.6,56
Kendall College,IL,2,150,150,121,15,15,338,33,6900,6900,4851,,165,800,1500,24,15.9,80
Knox College,IL,2,1040,845,286,48,77,967,24,15747,15747,1806,2256,186,400,800,88,12.7,79
Lake Forest College,IL,2,979,638,271,31,70,968,20,16880,16880,1740,2230,230,920,1320,91,10.7,77
Lewis University,IL,2,1154,1050,395,12,31,2192,1423,10560,10560,2030,2490,,500,1200,36,14.3,61
Loyola University Chicago,IL,2,3579,2959,868,25,55,5244,3417,11500,11500,,,350,700,2000,94,6.2,65
MacMurray College,IL,2,740,558,177,12,29,628,63,9620,9620,2050,1700,,550,950,49,10.8,59
McKendree College,IL,2,1002,555,119,16,43,836,684,7680,7680,1820,1920,135,500,800,70,17.7,52
Millikin University,IL,2,1444,1261,456,29,62,1788,95,11910,11910,,,91,450,965,60,11.4,75
Monmouth College,IL,2,601,503,204,28,57,671,11,13000,13000,2100,2000,200,400,460,91,11.6,56
National-Louis University,IL,2,513,347,279,23,48,2508,505,9090,9090,4500,,,650,500,62,18.3,71
North Central College,IL,2,1127,884,308,30,64,1310,766,11718,11718,,,120,450,1800,73,16.4,76
North Park College,IL,2,465,361,176,19,39,879,156,12580,12580,2390,1955,,400,970,76,13.1,74
Northern Illinois University,IL,1,10706,7219,2397,12,37,14826,1979,2600,7799,3296,,950,470,1750,73,17.3,56
Northwestern University,IL,2,12289,5200,1902,85,98,7450,45,16404,16404,,,,759,1585,96,6.8,92
Olivet Nazarene University,IL,2,678,640,388,,58,1503,293,7700,7700,4140,,136,,,39,14.6,54
Principia College,IL,2,205,179,129,13,45,570,22,12816,12816,2634,2710,210,1125,2000,,9.6,90
Quincy University,IL,2,1025,707,297,22,66,1070,72,10100,10100,1750,2390,210,450,1080,69,16.3,80
Rockford College,IL,2,591,505,196,15,37,907,364,12305,12305,4066,,,800,1940,57,12.3,
Roosevelt University,IL,2,422,367,218,13,40,1700,2902,8580,8580,5100,,80,600,,75,12.2,77
Rosary College,IL,2,434,321,141,28,53,624,269,10950,10950,,,95,550,950,79,12.9,81
Southern Illinois University at Carbondale,IL,1,,,2158,,,16961,2499,2318,6953,1920,1336,864,600,2608,71,14.9,44
Southern Illinois University at Edwardsville,IL,1,2540,2195,994,13,40,6063,2550,1824,5472,1570,2028,488,221,2216,76,16.5,43
Illinois Benedictine College,IL,2,607,558,269,22,47,1222,519,10500,10500,,,150,650,1500,81,11.6,75
Saint Xavier University,IL,2,785,647,295,15,65,1670,726,10860,10860,2666,1958,110,600,794,87,13.7,55
Trinity College,IL,2,746,473,317,39,82,834,50,9600,9600,2030,2080,75,600,1300,54,21.9,28
University of Chicago,IL,2,6348,2999,922,68,94,3340,39,18930,18930,3070,3310,486,500,1254,99,5.3,90
University of Illinois - Urbana,IL,1,14939,11652,5705,52,88,25422,911,2760,7560,1780,2794,920,500,1982,87,17.4,81
University of Illinois at Chicago,IL,1,8384,5727,2710,22,50,13518,2916,2520,7230,3198,1890,1108,630,3228,82,10,34
Western Illinois University,IL,1,6491,5027,1563,6,24,9015,1449,1902,5706,1843,1350,705,600,1993,77,17.2,55
Wheaton College,IL,2,1432,920,548,56,84,2200,56,11480,11480,2440,1760,,530,1400,81,12.7,85
Anderson University,IN,2,1216,908,423,19,40,1819,281,10100,10100,1620,1900,200,550,1100,48,12.1,59
Ball State University,IN,1,9361,7910,3849,38,50,16148,2207,2864,7244,3608,,,500,1500,69,17.7,51
Bethel College,IN,2,495,415,267,15,37,733,402,9300,9300,1300,1700,,500,,51,14.6,
Butler University,IN,2,2362,2037,700,40,68,2607,148,13130,13130,2480,2170,65,500,1600,77,10.9,83
DePauw University,IN,2,1994,1656,495,50,80,1983,36,14300,14300,2510,2510,200,550,950,78,11.1,82
Earlham College,IN,2,1358,1006,274,35,63,1028,13,15036,15036,1899,2157,273,600,600,90,10.6,78
University of Evansville,IN,2,2096,1626,694,35,67,2551,407,11800,11800,2520,1820,200,700,960,60,15.8,77
Franklin College,IN,2,804,632,281,29,72,840,68,10390,10390,1790,2250,110,525,1345,54,12.5,60
Goshen College,IN,2,440,396,221,26,51,910,166,9420,9420,1800,1930,,600,1230,51,9.9,72
Grace College and Seminary,IN,2,548,428,167,18,46,618,113,8958,8958,1862,1956,,300,1000,53,15.3,64
Hanover College,IN,2,1006,837,317,33,65,1024,15,8200,8200,1540,1945,350,500,1200,84,10.6,64
Huntington College,IN,2,450,430,125,20,46,488,43,9950,9950,3920,,250,300,1300,76,11.8,47
University of Indianapolis,IN,2,1487,1276,388,26,51,1417,1646,11120,11120,4080,,30,525,1405,55,11.1,69
Indiana Institute of Technology,IN,2,1052,810,167,7,47,477,602,8120,8120,3790,,,,,40,15.4,
University of Southern Indiana,IN,1,2379,2133,1292,8,25,4283,2973,2040,4973,1660,1532,20,500,1425,56,22,38
Indiana University at Bloomington,IN,1,16587,13243,5873,25,72,24763,2717,2984,9766,,,389,600,2000,77,21.3,68
Indiana Univ. East,IN,1,814,814,616,6,24,988,1356,2369,6140,,,116,570,,52,13.8,24
Indiana Univ.-Purdue Univ. at Fort Wayne,IN,1,2464,2306,1714,7,32,4981,5917,2090,5170,,,91,500,2000,67,16,41
Indiana Univ.-Purdue Univ. at Indianapolis,IN,1,4630,3655,2301,5,27,9216,11176,2766,8490,,,212,600,2200,69,10.4,25
Indiana Univ. at Kokomo,IN,1,1108,1086,723,4,26,1139,2070,2369,6140,,,90,660,,60,14.7,23
Indiana Univ. Northwest,IN,1,1572,1241,907,5,18,2699,2611,2369,6140,,,96,500,,56,18.2,33
Indiana Univ. at South Bend,IN,1,1500,1250,980,10,30,2761,3341,2412,6594,,,146,600,,69,14.4,33
Indiana Univ. Southeast,IN,1,1265,1256,911,,,2728,2660,2369,6140,,,73,500,,76,16.7,33
Manchester College,IN,2,1004,802,239,23,63,909,51,10440,10440,1960,1890,350,525,1450,63,11.8,64
Marian College,IN,2,770,542,238,15,42,923,427,9990,9990,3822,,164,450,1540,38,10.4,61
Indiana Wesleyan University,IN,2,735,423,366,20,48,2448,707,9210,9210,1558,2224,,700,1000,49,39.8,34
Oakland City College,IN,2,495,465,275,18,35,695,193,7620,7260,998,1986,186,740,900,41,11.5,62
Purdue University at West Lafayette,IN,1,21804,18744,5874,29,60,26213,4065,2884,9556,,,,570,1060,86,18.2,67
Purdue University Calumet,IN,1,,,,,,3831,4186,2374,5521,,,30,490,,,,
Rose-Hulman Institute of Technology,IN,2,3320,1840,381,73,93,1320,,13380,13380,2070,2136,120,600,600,91,13.6,97
Saint Francis College,IN,2,213,166,85,13,36,513,247,8670,8670,3820,,80,450,1000,43,12.5,48
Saint Joseph's College,IN,2,920,684,225,24,42,815,222,11200,11200,4250,,330,600,950,55,14.8,67
Calumet College of St. Joseph,IN,2,225,203,176,13,24,470,627,3960,3960,,,25,,,37,10.6,
Saint Mary-of-the-Woods College,IN,2,150,130,88,23,50,341,768,10300,10300,1590,2540,400,500,1700,44,10.2,75
Saint Mary's College,IN,2,888,734,393,26,60,1433,27,12730,12730,2652,1862,901,500,1525,74,9.9,98
Saint Meinrad College,IN,2,69,44,36,30,44,118,,6004,6004,,,76,400,2100,67,4.9,
Taylor University,IN,2,1769,1092,437,41,80,1757,81,10965,10965,1900,2100,210,450,1250,60,14.2,98
Tri-State University,IN,2,1262,1102,276,14,40,978,98,9456,9456,,,186,468,1323,53,12.8,65
University of Notre Dame,IN,2,7700,3700,1906,79,96,7671,30,16850,16850,4400,,147,600,1350,96,13.1,97
Valparaiso University,IN,2,2075,1727,520,49,81,2501,198,11800,11800,1300,1960,450,500,800,87,14.2,95
Wabash College,IN,2,800,623,256,41,76,801,5,12925,12925,1480,2715,250,500,635,78,9.9,72
Indiana State University,IN,1,5659,4761,3147,10,31,8596,1949,2802,6892,,,,600,2500,72,16.6,40
Baker University,KS,2,602,483,206,21,47,958,466,8620,8620,1900,2200,310,400,2250,58,11,65
Bethany College,KS,2,878,816,200,16,41,706,62,8740,8740,1463,1900,105,550,1700,62,11.6,48
Bethel College,KS,2,202,184,122,19,42,537,101,8540,8540,1960,1620,200,500,1400,61,8.8,56
Fort Hays State University,KS,1,1363,1363,806,,33,3640,706,1734,4869,2950,,,500,,65,18.1,44
Friends University,KS,2,358,276,172,5,24,838,122,8516,8516,,1910,115,650,,55,25,49
Pittsburg State University,KS,1,1419,1313,813,11,30,4469,499,1778,5424,3000,,,300,2000,52,23.2,58
Emporia State University,KS,1,1256,1256,853,43,79,3957,588,1729,5401,1512,1632,,450,1888,72,19.3,50
Kansas State University,KS,1,5880,4075,2833,25,55,14914,2246,1713,6995,3120,,403,600,2000,76,18.5,54
Kansas Wesleyan University,KS,2,589,575,148,16,40,474,258,8400,8400,1850,1400,120,500,1400,63,12.4,68
McPherson College,KS,2,420,293,93,11,32,336,80,7950,7950,1550,2200,260,600,2740,54,9.8,48
Ottawa University,KS,2,607,388,236,8,19,538,36,7250,7250,1945,1300,,400,2730,47,14.5,46
Southwestern College,KS,2,213,155,75,28,66,504,147,7200,7200,,,,550,1500,56,11.8,52
Saint Mary College,KS,2,273,229,66,25,60,439,415,7800,7800,3820,,270,800,,50,8.2,53
Sterling College,KS,2,479,373,127,20,43,631,133,8280,8280,,,100,500,,50,16.1,36
Tabor College,KS,2,257,183,109,19,41,396,38,7850,7850,2010,1400,200,400,1500,55,10,53
University of Kansas,KS,1,8579,5561,3681,25,50,17880,1673,1650,6994,,,388,700,2681,88,13.7,57
Washburn University,KS,1,1100,1078,560,,36,3157,2705,2790,4774,1410,1800,32,450,1000,82,13.8,53
Wichita State University,KS,1,2901,2236,896,,39,6550,5083,1650,6994,,,465,450,350,82,20.4,32
MidAmerica Nazarene College,KS,2,331,331,225,15,36,1100,166,6840,6840,,,472,1100,4913,33,15.4,49
Benedictine College,KS,2,632,620,222,14,24,702,501,9550,9550,2250,1600,210,350,250,64,14.1,58
Alice Lloyd College,KY,2,1174,607,289,20,45,555,24,,3800,1100,1380,300,500,800,56,19.4,31
Asbury College,KY,2,643,509,280,26,56,1110,39,8988,8988,1226,1538,125,500,1600,61,12.1,
Bellarmine College,KY,2,807,707,308,39,63,1198,605,8840,8840,1950,1000,100,750,1290,74,13.1,84
Berea College,KY,2,1836,599,455,35,60,1540,51,,,1355,1480,188,450,1027,77,13.2,57
Brescia College,KY,2,307,260,99,17,42,452,249,7500,7500,3200,,,650,,49,10.1,56
Campbellsville College,KY,2,848,587,298,25,55,935,184,6060,6060,1850,1220,,600,1300,62,17.7,49
Spalding University,KY,2,283,201,97,10,45,589,263,8400,8400,,,96,600,900,50,10.6,89
Centre College,KY,2,1013,888,288,55,82,943,7,11850,11850,2120,2150,350,600,900,95,11.4,74
Cumberland College,KY,2,995,789,398,26,47,1306,122,6230,6230,3526,,32,400,600,42,13,63
Eastern Kentucky University,KY,1,5443,5135,2445,,,11208,3350,1700,4700,1960,1236,,600,,82,19.8,39
Georgetown College,KY,2,727,693,286,30,55,1063,48,8000,8100,1975,1975,50,550,550,73,13.3,55
Kentucky State University,KY,1,1636,952,424,6,22,1544,896,1340,4120,1456,1226,100,510,,60,15,19
Kentucky Wesleyan College,KY,2,584,497,175,20,49,662,121,8000,8000,2300,1850,200,500,1300,57,11.3,62
Lindsey Wilson College,KY,2,1089,865,382,,,1006,164,6600,6600,1400,2150,80,400,500,32,19.3,
Morehead State University,KY,1,2825,2495,1300,,,6311,975,1580,4740,,,320,500,1050,58,19.9,52
Murray State University,KY,1,2225,1910,1190,29,55,5968,955,1580,4738,1290,1820,280,700,940,72,20.2,52
Pikeville College,KY,2,404,400,169,28,48,797,100,6000,6000,3000,,130,500,500,48,13.4,61
Transylvania University,KY,2,759,729,244,57,81,867,51,10900,10900,2480,1970,450,500,1000,81,12.1,70
Union College,KY,2,484,384,177,9,45,634,78,7800,7800,2950,,,500,600,60,14.1,64
University of Kentucky,KY,1,7769,5689,2675,,,14931,2596,2160,6640,,,330,450,1340,95,12.2,52
University of Louisville,KY,1,4777,3057,1823,16,33,9844,6198,2180,6540,,,210,530,2440,84,11.1,31
Thomas More College,KY,2,808,594,218,,,756,502,9490,9490,2248,1644,110,400,880,65,10.5,66
Western Kentucky University,KY,1,4441,3260,2082,,,10264,2910,1801,4961,1316,1833,221,500,1100,66,19.1,45
Northern Kentucky University,KY,1,2920,2506,1682,,,7112,3832,1720,4720,2900,,,500,500,66,17.7,52
Centenary College of Louisiana,LA,2,495,434,210,35,55,775,44,8950,8950,1470,2020,306,600,1900,86,11.3,66
Dillard University,LA,2,1998,1376,651,41,88,1539,45,6700,6700,,,,500,2307,52,14.1,61
Nicholls State University,LA,1,2020,1898,1092,,,4921,1338,1980,4572,,,37,600,2307,65,21.8,36
Grambling State University,LA,1,4847,3518,1900,27,65,6567,261,1044,1044,775,531,12,500,1200,46,24.6,58
Louisiana College,LA,2,2013,1053,212,33,61,912,158,5150,5150,,,420,500,1655,64,10.5,59
Louisiana Tech University,LA,1,2397,2144,1525,22,45,6720,1822,2262,3957,1245,1080,,618,1656,66,20,45
Louisiana State University at Baton Rouge,LA,1,5996,4993,3079,29,57,16269,3757,2625,5925,1720,1260,75,600,2242,83,15.9,37
Louisiana State University at Shreveport,LA,1,675,645,500,,,2413,1477,1950,4990,,1680,130,617,2307,62,18.1,35
University of New Orleans,LA,1,2406,2139,1501,,,8158,3643,2362,5154,1557,1566,,800,1790,75,17.9,19
Loyola University,LA,2,1891,1698,719,24,80,2740,761,11100,11100,2980,2890,190,600,750,77,11.7,53
McNeese State University,LA,1,2066,2031,1525,,,6020,1317,1966,3450,1110,1200,,650,1608,69,21.1,34
Northeast Louisiana University,LA,1,2963,2814,1840,,41,8718,1707,1644,3804,,,282,617,1655,57,20.6,21
Northwestern State University of Louisiana,LA,1,2671,2671,1330,,,5742,1969,2040,4040,1236,980,143,500,1600,67,29.5,33
Our Lady of Holy Cross College,LA,2,246,217,171,,,674,472,4400,4400,,,95,534,,72,16.1,73
Southeastern Louisiana University,LA,1,3247,3247,2297,,,9724,2192,1910,3854,1030,1200,,250,,61,24.3,29
Southern University at New Orleans,LA,1,900,900,490,10,30,2911,1089,1451,3009,,,,600,,62,19.6,35
Tulane University,LA,2,7033,5125,1223,47,75,4941,1534,19040,19040,2690,3260,510,350,800,98,9.1,74
University of Southwestern Louisiana,LA,1,4299,4250,2664,,,11767,3219,1898,4898,,,,560,,63,22.7,30
Xavier University of Louisiana,LA,2,2097,1915,695,34,61,2793,166,6900,6900,,,200,617,781,67,14.4,49
Southern University and A & M College,LA,1,2431,2416,1711,37,45,7534,775,2028,3950,1208,1508,,600,600,50,15.9,33
American International College,MA,2,1420,1093,220,9,22,1018,287,8700,8700,4780,,480,450,1400,78,14.7,69
Amherst College,MA,2,4302,992,418,83,96,1593,5,19760,19760,2650,2650,272,660,1598,93,8.4,100
Anna Maria College,MA,2,350,283,82,9,34,367,406,10800,10800,,,550,500,,45,11.7,82
Assumption College,MA,2,2135,1700,491,23,59,1708,689,12000,12000,,,125,500,500,93,13.8,88
Merrimack College,MA,2,1981,1541,514,18,36,1927,1084,12500,12500,2750,3450,175,375,1000,73,16.8,80
Babson College,MA,2,2007,1139,407,30,68,1680,,16600,16600,2495,4490,660,500,1045,93,16.8,94
Bentley College,MA,2,3466,2330,640,20,60,3095,1533,13800,13800,2730,2780,65,630,850,87,17.5,82
Berklee College of Music,MA,2,1975,1516,712,,,2223,304,11550,11550,,,385,400,1115,15,10.2,38
Boston College,MA,2,13112,6179,2154,66,94,8807,,16640,16640,3130,3830,448,500,1300,95,16.6,90
Boston University,MA,2,20192,13007,3810,45,80,14971,3113,18420,18420,3920,2890,270,475,1025,80,11.9,72
Bradford College,MA,2,443,330,151,5,36,453,42,14080,14080,3500,2750,260,500,900,57,10.2,46
Brandeis University,MA,2,4186,2743,740,48,77,2819,62,19380,19380,3500,3250,450,410,1000,90,9.8,84
Clark University,MA,2,2887,2059,457,30,61,1928,296,17500,17500,2000,2200,440,500,950,94,10.5,79
Elms College,MA,2,245,208,125,23,46,544,436,11800,11800,4765,,400,450,1700,71,11.3,86
College of the Holy Cross,MA,2,2994,1691,659,70,95,2675,22,18000,18000,6300,,355,400,900,92,11.3,95
Curry College,MA,2,1224,936,283,5,25,891,332,13600,13600,3050,2400,500,600,,39,8.7,58
Eastern Nazarene College,MA,2,516,409,200,17,40,1238,30,8770,8770,3500,,590,450,700,58,17.3,70
Emerson College,MA,2,1849,1228,492,19,51,2025,169,15200,15200,4590,3192,348,500,933,,18,62
Endicott College,MA,2,1000,858,319,10,29,665,298,11455,11455,,,250,400,1000,33,12.3,
Gordon College,MA,2,674,565,282,25,54,1151,39,12200,12200,1470,2600,520,400,1200,73,14.2,66
Harvard University,MA,2,13865,2165,1606,90,100,6862,320,18485,18485,3370,3040,1335,500,1920,97,9.9,100
Lasell College,MA,2,618,540,171,8,21,470,59,11475,11475,,,525,600,2150,32,9.1,
Lesley College,MA,2,244,198,82,12,33,1134,336,11700,11700,2100,3200,120,550,805,71,27.8,58
University of Massachusetts at Lowell,MA,1,3986,3026,1093,8,29,5740,4182,4694,9838,1774,2390,,500,1160,81,16.1,53
Massachusetts Institute of Technology,MA,2,6411,2140,1078,96,99,4481,28,20100,20100,3200,2775,600,725,1600,99,10.1,94
Bridgewater State College,MA,1,4915,3340,1064,4,21,5356,1502,1408,5542,2291,1700,2014,500,1750,73,17.1,51
Fitchburg State College,MA,1,2857,2090,577,5,20,2879,1412,1408,5542,2330,1700,1826,450,1555,,14.7,57
Framingham State College,MA,1,4141,2316,586,7,28,3248,1969,1380,5244,2110,1256,1796,500,600,68,21.2,
North Adams State College,MA,1,1563,1005,240,1,19,1380,136,1408,5542,2400,1930,2147,500,1000,65,14.2,57
Salem State College,MA,1,3973,3168,1334,,,5625,3416,1408,5542,1564,1950,1650,375,650,55,21,45
Westfield State College,MA,1,3100,2150,825,3,20,3234,941,1408,5542,2600,1188,1746,500,1300,75,15.7,65
Worcester State College,MA,1,2197,1515,543,4,26,3089,2029,2663,6797,2660,1240,1255,500,1200,60,21,40
Mount Holyoke College,MA,2,1800,1314,526,47,79,1891,40,19300,19300,2800,2900,735,750,750,79,9,84
Mount Ida College,MA,2,4750,4041,795,,,1501,334,9810,9810,6890,,290,300,,32,13.5,77
Nichols College,MA,2,780,702,218,6,21,707,693,9744,9744,2812,2812,200,400,1000,83,27.7,
Northeastern University,MA,2,11901,8492,2517,16,42,11160,10221,13380,13380,3990,3435,186,600,1750,73,12.9,46
Pine Manor College,MA,2,354,323,125,,10,372,28,15190,15190,3240,3240,675,400,500,46,8.9,67
Regis College,MA,2,427,385,143,18,38,581,533,12700,12700,5800,,275,450,700,81,10.3,84
Simmons College,MA,2,1003,782,295,23,53,1144,160,16160,16160,,,518,500,1200,74,8.9,79
Smith College,MA,2,2925,1598,632,51,88,2479,95,18820,18820,,,163,500,1050,85,10.3,90
University of Massachusetts at Dartmouth,MA,1,3347,2597,1006,10,37,4664,1630,1836,6919,,,1999,500,1250,74,15,56
Springfield College,MA,2,1888,1347,519,,,2160,131,9438,9438,2100,2200,432,,,55,12.8,76
Stonehill College,MA,2,3646,2300,585,25,69,2022,926,12170,12170,,,275,480,800,79,13,97
Suffolk University,MA,2,1247,980,356,11,32,2207,814,10584,10584,,,60,500,2400,95,13.3,60
Tufts University,MA,2,7614,3605,1205,60,90,4598,,19701,19701,3038,2930,503,600,928,99,10.3,92
University of Massachusetts at Amherst,MA,1,14438,12414,3816,12,39,16282,1940,2220,8566,1712,2185,3247,500,1400,88,16.7,68
University of Massachusetts at Boston,MA,1,2237,1495,800,10,29,6034,4954,2220,8568,,,2028,560,1221,86,14.5,41
Wellesley College,MA,2,2895,1249,579,80,96,2195,156,18345,18345,3055,2940,360,500,700,94,10.6,91
Western New England College,MA,2,1650,1471,409,7,21,1803,1116,8994,8994,5500,,800,498,2065,74,15.4,59
Wheaton College,MA,2,1738,1373,417,21,55,1335,30,18460,18460,2900,3070,120,700,850,92,13.2,71
Wheelock College,MA,2,399,335,161,,25,736,29,13472,13472,5528,,,400,,74,9.6,74
Williams College,MA,2,4186,1245,526,81,96,1988,29,19629,19629,2855,2935,141,500,1200,94,9,99
Worcester Polytechnic Institute,MA,2,2768,2314,682,49,86,2802,86,15884,15884,2790,2580,346,530,730,92,15.2,82
Hampshire College,MA,2,1342,998,309,26,56,1079,,20655,20655,2000,3475,690,375,450,79,11.4,62
Simon's Rock College of Bard,MA,2,300,171,132,,,303,3,16900,16900,2880,2740,2000,400,900,76,8.2,84
Wentworth Institute of Technology,MA,2,1480,1257,452,6,25,2961,572,9850,9850,6050,,,850,920,10,15.4,64
Capitol College,MD,2,100,90,35,10,52,282,331,8400,8400,2812,,195,300,2134,10,12.1,52
Bowie State University,MD,1,1643,882,407,,,2179,1089,2141,4869,2384,1691,673,600,2200,57,22,17
College of Notre Dame of Maryland,MD,2,457,356,177,35,61,667,1983,11180,11180,,,100,600,700,64,11.5,75
Columbia Union College,MD,2,1301,957,101,13,34,514,466,9500,9500,1950,1500,260,700,,47,13.9,63
Coppin State College,MD,1,1478,723,381,,,1863,775,2600,5000,4540,,94,500,700,69,16.3,
Frostburg State University,MD,1,2916,2167,911,,,4147,449,2431,5428,2280,2110,418,700,950,78,17.8,54
Goucher College,MD,2,1151,813,248,40,64,850,80,15588,15588,4114,2060,100,500,1200,78,9.2,77
Hood College,MD,2,699,565,176,36,64,710,399,13960,13960,,,150,450,690,82,14.4,72
Johns Hopkins University,MD,2,8474,3446,911,75,94,3566,1569,18800,18800,3815,2925,,500,1040,96,3.3,90
Loyola College,MD,2,4076,3137,738,25,54,3010,184,12990,12990,,,190,600,900,86,14.7,80
Morgan State University,MD,1,5892,3034,1358,20,80,4517,745,1794,4136,,,643,550,,80,18.2,29
Mount Saint Mary's College,MD,2,1321,1159,328,15,36,1243,79,12850,12850,3100,3100,,550,900,77,12.8,80
Salisbury State University,MD,1,4216,2290,736,20,52,4296,1027,2328,5130,2190,2500,766,600,1450,73,17.9,56
St. John's College,MD,2,323,278,122,31,51,393,4,16150,16150,5450,,200,275,800,63,7.2,64
St. Mary's College of Maryland,MD,1,1340,695,285,42,73,1315,209,4000,6800,4730,,915,675,1250,84,11.6,63
Towson State University,MD,1,6151,3837,1215,,,9247,3584,2166,5166,2660,1820,1121,660,1053,76,17.6,60
United States Naval Academy,MD,1,11522,1463,1181,50,85,4125,,,,,,,,,54,6.8,94
University of Maryland at College Park,MD,1,14292,10315,3409,22,53,19340,3991,2919,8723,2899,2247,561,550,1550,89,18.1,63
University of Maryland at Baltimore County,MD,1,4269,2594,985,27,57,6476,2592,3338,8594,1930,2478,,494,2768,82,18.4,55
University of Maryland Eastern Shore,MD,1,1600,1016,508,,,2067,199,2674,7014,2080,1500,,500,,56,17.8,35
Villa Julie College,MD,2,823,347,237,,52,1055,803,7400,7400,,,90,600,2910,39,10.2,72
Washington College,MD,2,1209,942,214,31,60,822,46,15276,15276,2372,2946,,500,300,79,11.2,65
Western Maryland College,MD,2,1205,984,278,31,50,1071,98,14510,14510,2430,2910,,500,1400,84,12.5,60
