Call  Failure,Complains,Subscription  Length,Seconds of Use,Frequency of use,Frequency of SMS,Distinct Called Numbers,Status,Churn
4,0,36,2590,52,166,20,1,0
2,0,27,1125,35,184,8,1,0
2,0,26,1378,38,21,65,1,0
9,0,27,510,24,1,4,0,0
0,0,26,635,9,12,1,0,0
8,0,25,1035,31,10,10,1,0
0,0,25,3035,60,0,20,1,0
0,0,18,1505,25,19,11,1,0
14,0,17,6202,140,76,39,1,0
10,0,15,8742,170,64,37,1,0
6,0,16,2662,44,22,16,1,0
0,0,9,4200,39,206,7,1,0
1,0,9,1297,18,0,4,1,1
6,0,33,4370,65,0,16,1,0
0,0,34,318,4,0,3,0,0
8,0,32,2453,54,351,23,1,0
8,0,33,4198,60,0,34,1,0
1,0,33,2393,52,0,32,1,0
9,0,33,3775,76,24,27,1,0
2,0,33,2360,33,277,17,1,0
11,0,32,9115,115,136,42,1,0
5,0,33,13773,163,0,43,1,0
5,0,33,4515,77,0,24,1,0
4,0,33,5918,89,0,11,1,0
7,1,33,2238,48,0,16,0,0
23,0,33,15140,219,46,31,1,0
2,0,33,3095,21,475,7,1,0
7,0,32,15485,176,142,29,1,0
1,0,32,6500,80,178,25,1,0
0,0,32,875,8,0,10,0,0
0,0,33,710,8,5,7,0,0
0,0,32,0,0,0,0,0,1
1,0,32,7508,121,376,42,1,0
5,0,32,11465,148,3,46,1,0
6,0,32,6718,69,100,36,1,0
21,1,28,955,41,8,16,0,1
19,0,31,10435,87,0,41,1,0
11,0,31,5818,92,18,23,1,1
0,0,29,2840,16,0,13,1,0
7,1,30,2990,35,1,15,0,1
7,1,31,2268,38,26,30,0,1
0,1,31,0,0,0,0,0,1
0,0,31,1668,19,0,5,1,0
1,0,28,6785,91,6,21,1,0
0,0,31,628,1,1,3,0,1
0,0,31,338,5,0,1,1,0
23,0,26,16075,232,0,79,1,0
4,0,29,6965,110,263,32,1,0
0,0,31,3718,76,0,27,1,0
1,0,30,1665,38,30,19,0,0
4,0,31,2780,47,167,22,1,0
2,0,22,1315,30,185,10,1,0
2,0,21,1568,33,22,67,1,0
9,0,22,700,19,2,6,0,0
0,0,21,825,4,13,2,0,0
8,0,20,1225,26,11,12,1,0
0,0,20,3225,55,0,22,1,0
0,0,13,1695,20,20,13,1,0
14,0,12,6392,135,77,41,1,0
10,0,10,8932,165,65,39,1,0
6,0,11,2852,39,23,18,1,0
0,0,4,4390,34,207,9,1,0
1,0,4,1487,13,0,6,1,1
10,0,43,4370,77,13,18,1,0
2,0,44,318,11,15,5,0,0
12,0,42,2453,66,367,25,1,0
12,0,43,4198,72,9,36,1,0
5,0,43,2393,64,10,34,1,0
13,0,43,3775,88,40,29,1,0
6,0,43,2360,45,293,19,1,0
15,0,42,9115,127,152,44,1,0
9,0,43,13773,175,8,45,1,0
9,0,43,4515,89,10,26,1,0
8,0,43,5918,101,15,13,1,0
11,1,43,2238,60,16,18,0,0
27,0,43,15140,231,62,33,1,0
6,0,43,3095,33,491,9,1,0
11,0,42,15485,188,158,31,1,0
5,0,42,6500,92,194,27,1,0
2,0,42,875,20,8,12,0,0
4,0,43,710,20,21,9,0,0
0,0,42,0,0,8,0,0,1
5,0,42,7508,133,392,44,1,0
9,0,42,11465,160,19,48,1,0
10,0,42,6718,81,116,38,1,0
25,1,38,955,53,24,18,0,1
23,0,41,10435,99,9,43,1,0
15,0,41,5818,104,34,25,1,0
3,0,39,2840,28,8,15,1,0
11,0,40,2990,47,17,17,0,1
11,1,41,2268,50,42,32,0,1
2,0,41,133,8,8,3,0,1
3,0,41,1668,31,8,7,1,0
5,0,38,6785,103,22,23,1,0
2,0,41,628,13,17,5,0,1
2,0,41,338,10,12,3,1,0
27,0,36,16075,244,8,81,1,0
8,0,39,6965,122,279,34,1,0
4,0,41,3718,88,10,29,1,0
5,0,40,1665,50,46,21,0,0
8,0,41,2780,59,183,24,1,0
6,1,32,1315,42,201,12,1,1
6,0,31,1568,45,38,69,1,0
13,0,32,700,31,18,8,0,0
2,0,31,825,16,29,4,0,0
12,0,30,1225,38,27,14,1,0
4,0,30,3225,67,16,24,1,0
4,0,23,1695,32,36,15,1,0
18,0,22,6392,147,93,43,1,0
14,0,20,8932,177,81,41,1,0
10,0,21,2852,51,39,20,1,0
4,0,14,4390,46,223,11,1,0
5,1,14,1487,25,8,8,1,1
14,0,39,5080,82,30,17,1,0
6,0,40,1028,16,15,4,0,0
16,0,38,3163,71,367,24,1,0
16,0,39,4908,77,9,35,1,0
9,0,39,3103,69,10,33,1,0
17,0,39,4485,93,40,28,1,0
10,0,39,3070,50,293,18,1,0
19,0,38,9825,132,152,43,1,0
13,0,39,14483,180,8,44,1,0
13,0,39,5225,94,10,25,1,0
12,0,39,6628,106,15,12,1,0
15,0,39,2948,65,16,17,0,0
31,1,39,15850,236,62,32,1,0
10,0,39,3805,38,491,8,1,0
15,0,38,16195,193,158,30,1,0
9,0,38,7210,97,194,26,1,0
6,0,38,1585,25,8,11,0,0
8,0,39,1420,25,21,8,0,0
6,0,38,710,11,8,2,0,1
9,0,38,8218,138,392,43,1,0
13,0,38,12175,165,19,47,1,0
14,0,38,7428,86,116,37,1,0
29,1,34,1665,58,24,17,0,1
27,0,37,11145,104,9,42,1,0
19,0,37,6528,109,34,24,1,0
7,0,35,3550,33,8,14,1,0
15,1,36,3700,52,17,16,0,1
15,1,37,2978,55,42,31,0,1
6,0,37,843,13,8,2,0,1
7,0,37,2378,36,8,6,1,0
9,0,34,7495,108,22,22,1,0
6,1,37,1338,18,17,4,0,1
6,0,37,1048,15,12,2,1,0
31,1,32,16785,249,8,80,1,0
12,1,35,7675,127,279,33,1,0
8,0,37,4428,93,10,28,1,0
9,0,36,2375,55,46,20,0,0
12,0,37,3490,64,183,23,1,0
10,0,28,2025,47,201,11,1,0
10,0,27,2278,50,38,68,1,0
17,0,28,1410,36,18,7,0,0
6,0,27,1535,21,29,3,0,0
16,0,26,1935,43,27,13,1,0
8,0,26,3935,72,16,23,1,0
8,0,19,2405,37,36,14,1,0
22,0,18,7102,152,93,42,1,0
18,0,16,9642,182,81,40,1,0
14,0,17,3562,56,39,19,1,0
8,0,10,5100,51,223,10,1,0
9,0,10,2197,30,8,7,1,1
2,0,37,3660,60,0,17,1,0
0,0,38,0,0,0,0,0,0
4,0,36,1743,49,334,24,1,0
4,0,37,3488,55,0,35,1,0
0,0,37,1683,47,0,33,1,0
5,0,37,3065,71,7,28,1,0
0,0,37,1650,28,260,18,1,0
7,0,36,8405,110,119,43,1,0
1,0,37,13063,158,0,44,1,0
1,0,37,3805,72,0,25,1,0
0,0,37,5208,84,0,12,1,0
3,0,37,1528,43,0,17,0,0
19,0,37,14430,214,29,32,1,0
0,0,37,2385,16,458,8,1,0
3,0,36,14775,171,125,30,1,0
0,0,36,5790,75,161,26,1,0
0,0,36,165,3,0,11,0,0
0,0,37,0,0,0,0,0,0
0,0,36,0,0,0,0,0,1
0,0,36,6798,116,359,43,1,0
1,0,36,10755,143,0,47,1,0
2,0,36,6008,64,83,37,1,0
17,0,32,245,36,0,17,0,1
15,0,35,9725,82,0,42,1,0
7,0,35,5108,87,1,24,1,1
0,0,33,2130,11,0,14,1,0
3,1,34,2280,30,0,16,0,1
3,0,35,1558,33,9,31,0,1
0,0,35,0,0,0,0,0,1
0,0,35,958,14,0,6,1,0
0,0,32,6075,86,0,22,1,0
0,0,35,0,0,0,0,0,1
0,0,35,0,0,0,0,1,0
19,0,30,15365,227,0,80,1,0
0,0,33,6255,105,246,33,1,0
0,0,35,3008,71,0,28,1,0
0,0,34,955,33,13,20,0,0
0,0,35,2070,42,150,23,1,0
0,0,26,605,25,168,11,1,0
0,0,25,858,28,5,68,1,0
0,0,26,0,0,0,0,0,0
0,0,25,0,0,0,0,0,0
4,0,24,515,21,0,13,1,0
0,0,24,2515,50,0,23,1,0
0,0,17,985,15,3,14,1,0
10,0,16,5682,130,60,42,1,0
6,0,14,8222,160,48,40,1,0
2,0,15,2142,34,6,19,1,0
0,0,8,3680,29,190,10,1,0
0,0,8,777,8,0,7,1,1
8,0,38,4370,71,5,17,1,0
0,0,39,318,5,7,4,0,0
10,0,37,2453,60,359,24,1,0
10,0,38,4198,66,1,35,1,0
3,0,38,2393,58,2,33,1,0
11,0,38,3775,82,32,28,1,0
4,0,38,2360,39,285,18,1,0
13,0,37,9115,121,144,43,1,0
7,0,38,13773,169,0,44,1,0
7,0,38,4515,83,2,25,1,0
6,0,38,5918,95,7,12,1,0
9,1,38,2238,54,8,17,0,0
25,0,38,15140,225,54,32,1,0
4,0,38,3095,27,483,8,1,0
9,0,37,15485,182,150,30,1,0
3,0,37,6500,86,186,26,1,0
0,0,37,875,14,0,11,0,0
2,0,38,710,14,13,8,0,0
0,0,37,0,0,0,0,0,1
3,0,37,7508,127,384,43,1,0
7,0,37,11465,154,11,47,1,0
8,0,37,6718,75,108,37,1,0
23,0,33,955,47,16,17,0,1
21,1,36,10435,93,1,42,1,0
13,0,36,5818,98,26,24,1,1
1,0,34,2840,22,0,14,1,0
9,1,35,2990,41,9,16,0,1
9,0,36,2268,44,34,31,0,1
0,0,36,133,2,0,2,0,1
1,0,36,1668,25,0,6,1,0
3,0,33,6785,97,14,22,1,0
0,0,36,628,7,9,4,0,1
0,0,36,338,4,4,2,1,0
25,0,31,16075,238,0,80,1,0
6,0,34,6965,116,271,33,1,0
2,0,36,3718,82,2,28,1,0
3,0,35,1665,44,38,20,0,0
6,0,36,2780,53,175,23,1,0
4,1,27,1315,36,193,11,1,1
4,0,26,1568,39,30,68,1,0
11,0,27,700,25,10,7,0,0
0,0,26,825,10,21,3,0,0
10,0,25,1225,32,19,13,1,0
2,0,25,3225,61,8,23,1,0
2,0,18,1695,26,28,14,1,0
16,0,17,6392,141,85,42,1,0
12,0,15,8932,171,73,40,1,0
8,0,16,2852,45,31,19,1,0
2,0,9,4390,40,215,10,1,0
3,0,9,1487,19,0,7,1,1
8,0,38,4370,71,5,17,1,0
0,0,39,318,5,7,4,0,0
10,0,37,2453,60,359,24,1,0
10,0,38,4198,66,1,35,1,0
3,0,38,2393,58,2,33,1,0
11,0,38,3775,82,32,28,1,0
4,0,38,2360,39,285,18,1,0
13,0,37,9115,121,144,43,1,0
7,0,38,13773,169,0,44,1,0
7,0,38,4515,83,2,25,1,0
6,0,38,5918,95,7,12,1,0
9,1,38,2238,54,8,17,0,0
25,0,38,15140,225,54,32,1,0
4,0,38,3095,27,483,8,1,0
9,0,37,15485,182,150,30,1,0
3,0,37,6500,86,186,26,1,0
0,0,37,875,14,0,11,0,0
2,0,38,710,14,13,8,0,0
0,0,37,0,0,0,0,0,1
3,0,37,7508,127,384,43,1,0
7,0,37,11465,154,11,47,1,0
8,0,37,6718,75,108,37,1,0
23,1,33,955,47,16,17,0,1
21,0,36,10435,93,1,42,1,0
13,1,36,5818,98,26,24,1,1
1,0,34,2840,22,0,14,1,0
9,0,35,2990,41,9,16,0,1
9,0,36,2268,44,34,31,0,1
0,0,36,133,2,0,2,0,1
1,0,36,1668,25,0,6,1,0
3,0,33,6785,97,14,22,1,0
0,0,36,628,7,9,4,0,1
0,0,36,338,4,4,2,1,0
25,1,31,16075,238,0,80,1,0
6,0,34,6965,116,271,33,1,0
2,0,36,3718,82,2,28,1,0
3,0,35,1665,44,38,20,0,0
6,0,36,2780,53,175,23,1,0
4,0,27,1315,36,193,11,1,0
4,0,26,1568,39,30,68,1,0
11,0,27,700,25,10,7,0,0
0,0,26,825,10,21,3,0,0
10,0,25,1225,32,19,13,1,0
2,0,25,3225,61,8,23,1,0
2,0,18,1695,26,28,14,1,0
16,0,17,6392,141,85,42,1,0
12,0,15,8932,171,73,40,1,0
8,0,16,2852,45,31,19,1,0
2,0,9,4390,40,215,10,1,0
3,1,9,1487,19,0,7,1,1
3,0,36,4065,65,0,15,1,0
0,0,37,0,0,0,0,0,0
5,0,35,2148,54,352,22,1,0
5,0,36,3893,60,0,33,1,0
0,0,36,2088,52,0,31,1,0
6,0,36,3470,76,25,26,1,0
0,0,36,2055,33,278,16,1,0
8,0,35,8810,115,137,41,1,0
2,0,36,13468,163,0,42,1,0
2,0,36,4210,77,0,23,1,0
1,0,36,5613,89,0,10,1,0
4,0,36,1933,48,1,15,0,0
20,0,36,14835,219,47,30,1,0
0,0,36,2790,21,476,6,1,0
4,0,35,15180,176,143,28,1,0
0,0,35,6195,80,179,24,1,0
0,0,35,570,8,0,9,0,0
0,0,36,405,8,6,6,0,0
0,0,35,0,0,0,0,0,1
0,0,35,7203,121,377,41,1,0
2,0,35,11160,148,4,45,1,0
3,0,35,6413,69,101,35,1,0
18,0,31,650,41,9,15,0,1
16,0,34,10130,87,0,40,1,0
8,1,34,5513,92,19,22,1,1
0,0,32,2535,16,0,12,1,0
4,0,33,2685,35,2,14,0,1
4,0,34,1963,38,27,29,0,1
0,1,34,0,0,0,0,0,1
0,0,34,1363,19,0,4,1,0
0,0,31,6480,91,7,20,1,0
0,0,34,323,1,2,2,0,1
0,0,34,0,0,0,0,1,0
20,0,29,15770,232,0,78,1,0
1,0,32,6660,110,264,31,1,0
0,0,34,3413,76,0,26,1,0
0,0,33,1360,38,31,18,0,0
1,0,34,2475,47,168,21,1,0
0,1,25,1010,30,186,9,1,1
0,0,24,1263,33,23,66,1,0
6,0,25,395,19,3,5,0,0
0,0,24,520,4,14,1,0,0
5,0,23,920,26,12,11,1,0
0,0,23,2920,55,1,21,1,0
0,0,16,1390,20,21,12,1,0
11,0,15,6088,135,78,40,1,0
7,0,13,8628,165,66,38,1,0
3,0,14,2548,39,24,17,1,0
0,0,7,4085,34,208,8,1,0
0,1,7,1183,13,0,5,0,1
6,0,38,4125,68,3,17,1,0
0,0,39,73,2,5,4,1,0
8,0,37,2208,57,357,24,1,0
8,0,38,3953,63,0,35,1,0
1,0,38,2148,55,0,33,1,0
9,0,38,3530,79,30,28,1,0
2,0,38,2115,36,283,18,1,0
11,0,37,8870,118,142,43,1,0
5,0,38,13528,166,0,44,1,0
5,0,38,4270,80,0,25,1,0
4,0,38,5673,92,5,12,1,0
7,0,38,1993,51,6,17,1,0
23,0,38,14895,222,52,32,1,0
2,0,38,2850,24,481,8,1,0
7,0,37,15240,179,148,30,1,0
1,0,37,6255,83,184,26,1,0
0,0,37,630,11,0,11,1,0
0,0,38,465,11,11,8,1,0
0,0,37,0,0,0,0,1,1
1,0,37,7263,124,382,43,1,0
5,0,37,11220,151,9,47,1,0
6,0,37,6473,72,106,37,1,0
21,1,33,710,44,14,17,1,1
19,0,36,10190,90,0,42,1,0
11,1,36,5573,95,24,24,1,1
0,0,34,2595,19,0,14,1,0
7,0,35,2745,38,7,16,1,1
7,1,36,2023,41,32,31,1,1
0,0,36,0,0,0,0,1,1
0,0,36,1423,22,0,6,1,0
1,0,33,6540,94,12,22,1,0
0,0,36,383,4,7,4,1,1
0,0,36,93,1,2,2,1,0
23,0,31,15830,235,0,80,1,0
4,0,34,6720,113,269,33,1,0
0,0,36,3473,79,0,28,1,0
1,0,35,1420,41,36,20,1,0
4,0,36,2535,50,173,23,1,0
2,1,27,1070,33,191,11,1,0
2,0,26,1323,36,28,68,1,0
9,0,27,455,22,8,7,1,0
0,0,26,580,7,19,3,1,0
8,0,25,980,29,17,13,1,0
0,0,25,2980,58,6,23,1,0
0,0,18,1450,23,26,14,1,0
14,1,17,6148,138,83,42,1,0
10,0,15,8688,168,71,40,1,0
6,0,16,2608,42,29,19,1,0
0,0,9,4145,37,213,10,1,0
1,1,9,1243,16,0,7,1,1
0,0,34,4005,62,0,13,1,0
0,0,35,0,0,0,0,0,0
2,0,33,2088,51,347,20,1,0
2,0,34,3833,57,0,31,1,0
0,0,34,2028,49,0,29,1,0
3,0,34,3410,73,20,24,1,0
0,0,34,1995,30,273,14,1,0
5,0,33,8750,112,132,39,1,0
0,0,34,13408,160,0,40,1,0
0,0,34,4150,74,0,21,1,0
0,0,34,5553,86,0,8,1,0
1,0,34,1873,45,0,13,0,0
17,0,34,14775,216,42,28,1,0
0,0,34,2730,18,471,4,1,0
1,0,33,15120,173,138,26,1,0
0,0,33,6135,77,174,22,1,0
0,0,33,510,5,0,7,0,0
0,0,34,345,5,1,4,0,0
0,0,33,0,0,0,0,0,1
0,0,33,7143,118,372,39,1,0
0,0,33,11100,145,0,43,1,0
0,0,33,6353,66,96,33,1,0
15,0,29,590,38,4,13,0,1
13,0,32,10070,84,0,38,1,0
5,1,32,5453,89,14,20,1,1
0,0,30,2475,13,0,10,1,0
1,1,31,2625,32,0,12,0,1
1,0,32,1903,35,22,27,0,1
0,1,32,0,0,0,0,0,1
0,0,32,1303,16,0,2,1,0
0,0,29,6420,88,2,18,1,0
0,0,32,263,1,0,1,0,1
0,0,32,0,0,0,0,1,0
17,0,27,15710,229,0,76,1,0
0,0,30,6600,107,259,29,1,0
0,0,32,3353,73,0,24,1,0
0,0,31,1300,35,26,16,0,0
0,0,32,2415,44,163,19,1,0
0,0,23,950,27,181,7,1,0
0,0,22,1203,30,18,64,1,0
3,0,23,335,16,0,3,0,0
0,0,22,0,0,9,0,0,0
2,0,21,860,23,7,9,1,0
0,0,21,2860,52,0,19,1,0
0,0,14,1330,17,16,10,1,0
8,0,13,6028,132,73,38,1,0
4,0,11,8568,162,61,36,1,0
0,0,12,2488,36,19,15,1,0
0,0,5,4025,31,203,6,1,0
0,1,5,1123,10,0,3,0,1
4,0,40,4145,67,8,19,1,0
0,0,41,93,1,10,6,0,0
6,0,39,2228,56,362,26,1,0
6,0,40,3973,62,4,37,1,0
0,0,40,2168,54,5,35,1,0
7,0,40,3550,78,35,30,1,0
0,0,40,2135,35,288,20,1,0
9,0,39,8890,117,147,45,1,0
3,0,40,13548,165,3,46,1,0
3,0,40,4290,79,5,27,1,0
2,0,40,5693,91,10,14,1,0
5,0,40,2013,50,11,19,0,0
21,0,40,14915,221,57,34,1,0
0,0,40,2870,23,486,10,1,0
5,0,39,15260,178,153,32,1,0
0,0,39,6275,82,189,28,1,0
0,0,39,650,10,3,13,0,0
0,0,40,485,10,16,10,0,0
0,0,39,0,0,3,0,0,1
0,0,39,7283,123,387,45,1,0
3,0,39,11240,150,14,49,1,0
4,0,39,6493,71,111,39,1,0
19,0,35,730,43,19,19,0,1
17,0,38,10210,89,4,44,1,0
9,0,38,5593,94,29,26,1,1
0,0,36,2615,18,3,16,1,0
5,1,37,2765,37,12,18,0,1
5,0,38,2043,40,37,33,0,1
0,0,38,0,0,3,0,0,1
0,0,38,1443,21,3,8,1,0
0,0,35,6560,93,17,24,1,0
0,1,38,403,3,12,6,0,1
0,0,38,0,0,7,0,1,0
21,0,33,15850,234,3,82,1,0
2,0,36,6740,112,274,35,1,0
0,0,38,3493,78,5,30,1,0
0,0,37,1440,40,41,22,0,0
2,0,38,2555,49,178,25,1,0
0,0,29,1090,32,196,13,1,0
0,0,28,1343,35,33,70,1,0
7,0,29,475,21,13,9,0,0
0,0,28,600,6,24,5,0,0
6,0,27,1000,28,22,15,1,0
0,0,27,3000,57,11,25,1,0
0,0,20,1470,22,31,16,1,0
12,0,19,6168,137,88,44,1,0
8,0,17,8708,167,76,42,1,0
4,0,18,2628,41,34,21,1,0
0,0,11,4165,36,218,12,1,0
0,1,11,1263,15,3,9,1,1
2,0,32,3985,63,0,11,1,0
0,0,33,0,0,0,0,0,0
4,0,31,2068,52,342,18,1,0
4,0,32,3813,58,0,29,1,0
0,0,32,2008,50,0,27,1,0
5,0,32,3390,74,15,22,1,0
0,0,32,1975,31,268,12,1,0
7,0,31,8730,113,127,37,1,0
1,0,32,13388,161,0,38,1,0
1,0,32,4130,75,0,19,1,0
0,0,32,5533,87,0,6,1,0
3,0,32,1853,46,0,11,0,0
19,0,32,14755,217,37,26,1,0
0,0,32,2710,19,466,2,1,0
3,0,31,15100,174,133,24,1,0
0,0,31,6115,78,169,20,1,0
0,0,31,490,6,0,5,0,0
0,0,32,325,6,0,2,0,0
0,0,31,0,0,0,0,0,1
0,0,31,7123,119,367,37,1,0
1,0,31,11080,146,0,41,1,0
2,0,31,6333,67,91,31,1,0
17,0,27,570,39,0,11,0,1
15,0,30,10050,85,0,36,1,0
7,0,30,5433,90,9,18,1,1
0,0,28,2455,14,0,8,1,0
3,1,29,2605,33,0,10,0,1
3,0,30,1883,36,17,25,0,1
0,0,30,0,0,0,0,0,1
0,0,30,1283,17,0,5,1,0
0,0,27,6400,89,0,16,1,0
0,1,30,0,0,0,0,0,1
0,0,30,0,0,0,0,1,0
19,0,25,15690,230,0,74,1,0
0,0,28,6580,108,254,27,1,0
0,0,30,3333,74,0,22,1,0
0,0,29,1280,36,21,14,0,0
0,0,30,2395,45,158,17,1,0
0,0,21,930,28,176,5,1,0
0,0,20,1183,31,13,62,1,0
5,0,21,315,17,0,1,0,0
0,0,20,0,0,4,0,0,0
4,0,19,840,24,2,7,1,0
0,0,19,2840,53,0,17,1,0
0,0,12,1310,18,11,8,1,0
10,0,11,6008,133,68,36,1,0
6,0,9,8548,163,56,34,1,0
2,0,10,2468,37,14,13,1,0
0,0,3,4005,32,198,4,1,0
0,0,3,1103,11,0,1,1,1
8,0,42,4325,75,13,21,1,0
0,0,43,273,9,15,8,0,0
10,0,41,2408,64,367,28,1,0
10,0,42,4153,70,9,39,1,0
3,0,42,2348,62,10,37,1,0
11,0,42,3730,86,40,32,1,0
4,0,42,2315,43,293,22,1,0
13,0,41,9070,125,152,47,1,0
7,0,42,13728,173,8,48,1,0
7,0,42,4470,87,10,29,1,0
6,0,42,5873,99,15,16,1,0
9,1,42,2193,58,16,21,0,0
25,0,42,15095,229,62,36,1,0
4,0,42,3050,31,491,12,1,0
9,0,41,15440,186,158,34,1,0
3,0,41,6455,90,194,30,1,0
0,0,41,830,18,8,15,0,0
2,0,42,665,18,21,12,0,0
0,0,41,0,0,8,0,0,1
3,0,41,7463,131,392,47,1,0
7,0,41,11420,158,19,51,1,0
8,0,41,6673,79,116,41,1,0
23,1,37,910,51,24,21,0,1
21,1,40,10390,97,9,46,1,0
13,0,40,5773,102,34,28,1,0
1,0,38,2795,26,8,18,1,0
9,1,39,2945,45,17,20,0,1
9,0,40,2223,48,42,35,0,1
0,0,40,88,6,8,6,0,1
1,0,40,1623,29,8,10,1,0
3,0,37,6740,101,22,26,1,0
0,1,40,583,11,17,8,0,1
0,0,40,293,8,12,6,1,0
25,0,35,16030,242,8,84,1,0
6,0,38,6920,120,279,37,1,0
2,0,40,3673,86,10,32,1,0
3,0,39,1620,48,46,24,0,0
6,0,40,2735,57,183,27,1,0
4,0,31,1270,40,201,15,1,0
4,0,30,1523,43,38,72,1,0
11,0,31,655,29,18,11,0,0
0,0,30,780,14,29,7,0,0
10,0,29,1180,36,27,17,1,0
2,0,29,3180,65,16,27,1,0
2,0,22,1650,30,36,18,1,0
16,0,21,6348,145,93,46,1,0
12,0,19,8888,175,81,44,1,0
8,0,20,2808,49,39,23,1,0
2,0,13,4345,44,223,14,1,0
3,0,13,1443,23,8,11,1,1
0,0,30,3805,55,0,9,1,0
0,0,31,0,0,0,0,0,0
0,0,29,1888,44,337,16,1,0
0,0,30,3633,50,0,27,1,0
0,0,30,1828,42,0,25,1,0
1,0,30,3210,66,10,20,1,0
0,0,30,1795,23,263,10,1,0
3,0,29,8550,105,122,35,1,0
0,0,30,13208,153,0,36,1,0
0,0,30,3950,67,0,17,1,0
0,0,30,5353,79,0,4,1,0
0,0,30,1673,38,0,9,0,0
15,0,30,14575,209,32,24,1,0
0,0,30,2530,11,461,7,1,0
0,0,29,14920,166,128,22,1,0
0,0,29,5935,70,164,18,1,0
0,0,29,0,0,0,0,0,0
0,0,30,0,0,0,0,0,0
0,0,29,0,0,0,0,0,1
0,0,29,6943,111,362,35,1,0
0,0,29,10900,138,0,39,1,0
0,0,29,6153,59,86,29,1,0
13,1,25,390,31,0,9,0,1
11,0,28,9870,77,0,34,1,0
3,0,28,5253,82,4,16,1,1
0,0,26,2275,6,0,6,1,0
0,1,27,2425,25,0,8,0,1
0,1,28,1703,28,12,23,0,1
0,0,28,0,0,0,0,0,1
0,0,28,0,0,0,0,1,0
0,0,25,6220,81,0,14,1,0
0,0,28,0,0,0,0,0,1
0,1,28,0,0,0,0,1,1
15,0,23,15510,222,0,72,1,0
0,0,26,6400,100,249,25,1,0
0,0,28,3153,66,0,20,1,0
0,0,27,1100,28,16,12,0,0
0,0,28,2215,37,153,15,1,0
0,0,19,750,20,171,3,1,0
0,0,18,1003,23,8,60,1,0
0,0,19,0,0,0,0,0,0
0,0,18,0,0,0,0,0,0
0,0,17,660,16,0,5,1,0
0,0,17,2660,45,0,15,1,0
0,0,10,1130,10,6,6,1,0
6,0,9,5828,125,63,34,1,0
2,0,7,8368,155,51,32,1,0
0,0,8,2288,29,9,11,1,0
0,0,3,3825,24,193,2,1,0
0,0,3,0,0,0,0,1,1
5,0,39,4245,73,9,20,1,0
0,0,40,193,7,11,7,0,0
7,0,38,2328,62,363,27,1,0
7,0,39,4073,68,5,38,1,0
0,0,39,2268,60,6,36,1,0
8,0,39,3650,84,36,31,1,0
1,0,39,2235,41,289,21,1,0
10,0,38,8990,123,148,46,1,0
4,0,39,13648,171,4,47,1,0
4,0,39,4390,85,6,28,1,0
3,0,39,5793,97,11,15,1,0
6,0,39,2113,56,12,20,0,0
22,0,39,15015,227,58,35,1,0
1,0,39,2970,29,487,11,1,0
6,0,38,15360,184,154,33,1,0
0,0,38,6375,88,190,29,1,0
0,0,38,750,16,4,14,0,0
0,0,39,585,16,17,11,0,0
0,0,38,0,0,4,0,0,1
0,0,38,7383,129,388,46,1,0
4,0,38,11340,156,15,50,1,0
5,0,38,6593,77,112,40,1,0
20,1,34,830,49,20,20,0,1
18,0,37,10310,95,5,45,1,0
10,0,37,5693,100,30,27,1,1
0,0,35,2715,24,4,17,1,0
6,1,36,2865,43,13,19,0,1
6,1,37,2143,46,38,34,0,1
0,0,37,8,4,4,5,0,1
0,0,37,1543,27,4,9,1,0
0,0,34,6660,99,18,25,1,0
0,1,37,503,9,13,7,0,1
0,0,37,213,6,8,5,1,0
22,0,32,15950,240,4,83,1,0
3,0,35,6840,118,275,36,1,0
0,0,37,3593,84,6,31,1,0
0,0,36,1540,46,42,23,0,0
3,0,37,2655,55,179,26,1,0
1,0,28,1190,38,197,14,1,0
1,0,27,1443,41,34,71,1,0
8,0,28,575,27,14,10,0,0
0,0,27,700,12,25,6,0,0
7,0,26,1100,34,23,16,1,0
0,0,26,3100,63,12,26,1,0
0,0,19,1570,28,32,17,1,0
13,0,18,6268,143,89,45,1,0
9,0,16,8808,173,77,43,1,0
5,0,17,2728,47,35,22,1,0
0,0,10,4265,42,219,13,1,0
0,1,10,1363,21,4,10,1,1
1,0,33,3885,57,0,10,1,0
0,0,34,0,0,0,0,0,0
3,0,32,1968,46,341,17,1,0
3,0,33,3713,52,0,28,1,0
0,0,33,1908,44,0,26,1,0
4,0,33,3290,68,14,21,1,0
0,0,33,1875,25,267,11,1,0
6,0,32,8630,107,126,36,1,0
0,0,33,13288,155,0,37,1,0
0,0,33,4030,69,0,18,1,0
0,0,33,5433,81,0,5,1,0
2,0,33,1753,40,0,10,0,0
18,0,33,14655,211,36,25,1,0
0,0,33,2610,13,465,1,1,0
2,0,32,15000,168,132,23,1,0
0,0,32,6015,72,168,19,1,0
0,0,32,0,0,0,0,0,0
0,0,33,0,0,0,0,0,0
0,0,32,0,0,0,0,0,1
0,0,32,7023,113,366,36,1,0
0,0,32,10980,140,0,40,1,0
1,0,32,6233,61,90,30,1,0
16,0,28,470,33,0,10,0,1
14,0,31,9950,79,0,35,1,0
6,1,31,5333,84,8,17,1,1
0,0,29,2355,8,0,7,1,0
2,1,30,2505,27,0,9,0,1
2,0,31,1783,30,16,24,0,1
